Action	Count Usages	Normative Form	Idiomatic Forms
are_educated_by	1	B educated A	B educated A in the ways of the world
are_accused_by	1	B accused A	"B accused A of a serious transgression, B wanted to bring A to book for its crimes"
are_championed_by	1	B championed A	B championed A's cause
are_driven_around_by	1	B drove A around	B drove A everywhere
design_for	1	A designed for B	A designed beautiful things for B
confess_to	1	A confessed to B	A confessed all its wrongdoings to B
are_assaulted_by	1	B assaulted A	B viciously assaulted A
inherit_from	1	A inherited from B	A inherited all its land and its belongings from B
nurture	1	A nurtured B	A nurtured B as a mother nurtures a child
are_answered_by	1	B answered A	B answered A's most probing questions
beautify	1	A beautified B	A pulled out all the stops to make B beautiful
enhance	1	A enhanced B	"A enhanced B's appearance, A gave B a complete make-over"
style_for	1	A styled for B	A styled B's hair and overall appearance
are_attended_by	1	B attended A	B attended to A's every need 24/7
are_venerated_by	1	B venerated A	B erected an altar to A in its heart
are_selected_by	1	B selected A	"B selected A for a very important task, B selected A from a crowded field of candidates"
leak_to	1	A leaked to B	"A leaked sensitive information to B, A leaked valuable information to B"
are_introduced_by	1	B introduced A	"B introduced A to its coterie, B introduced A to its social circle, B threw a coming out party for A"
are_named_by	1	B named A	B released A 's name and identity to the public
perform_for	1	A performed for B	A performed live for B
live_with	1	A lived with B	A packed a bag and went to live with B
provide_for	1	A provided for B	A provided for B's every need
renounce	1	A renounced B	A renounced B and all its works
consort_with	1	A consorted with B	A consorted with B in public
drive_for	1	A drove for B	A drove B around the place
are_bored_with	1	A was bored with B	"A was utterly bored with B, A was bored out of its skull by B"
finance	1	A financed B	"A financed B's project, A provided the financial backing for B's project"
are_waited_upon_by	1	B waited upon A	B waited upon A and met its every need
pick	1	A picked B	"A picked out B for patronage, A showered B with patronage, A bestowed patronage upon B"
are_rewarded_with	1	A was rewarded with B	A received B as a reward
supply_to	1	A supplied to B	A supplied everything that B needed for its work
ordain	1	A ordained B	A ordained B into the priesthood
are_ordained_by	1	B ordained A	B ordained A into the priesthood
transport	1	A transported B	A transported B to where it wanted to go
are_appreciated_by	1	B appreciated A	B appreciated everything that A had done for it
are_sickened_by	1	B sickened A	B made A sick to its stomach
are_victimized_by	1	B victimized A	"B routinely victimized A, B bullied and traumatized A, B made a real victim out of A"
navigate_for	1	A navigated for B	A served as a navigator for B
become_dependent_upon	1	A became dependent upon B	"A became utterly dependent upon B, A became utterly reliant on B"
are_driven_by	1	B drove A	B drove A around the place
are_prosecuted_by	1	B prosecuted A	B prosecuted A for its crimes
are_tended_by	1	B tended A	B tended to A's every need
are_raised_by	1	B raised A	B raised A into an adult
accommodate	1	A accommodated B	A provided accommodation for B in its home
are_frustrated_by	1	B frustrated A	B was a constant source of frustration to A
lease_to	1	A leased to B	A leased an apartment to B
rent_to	1	A rented to B	A rented an apartment to B
baptise	1	A baptised B	A initiated B into the new religion
govern_via	1	A governed via B	A governed the land with B as a trusted lieutenant
are_motivated_by	1	B motivated A	"B gave A its motivation, B was a motivating force in A's life"
model_for	1	A modeled for B	"A did modeling work for B, A posed and modeled for B's art"
are_whipped_by	1	B whipped A	B took a whip to A's back
negotiate_for	1	A negotiated for B	A handled all the negotiations for B
despise	1	A despised B	A despised everything about B
are_guaranteed_by	1	B guaranteed A	B offered a personal guarantee for A's reliability
train_with	1	A trained with B	"A trained with B, A underwent intensive training with B"
are_signed_by	1	B signed A	B signed A as a client
are_chronicled_by	1	B chronicled A	B chronicled A's life and times
are_defended_by	1	B defended A	B defended A from its rivals
are_graded_by	1	B graded A	B graded A's work
bully	1	A bullied B	"A bullied B constantly, A was a real bully to B, A was a cruel bully to B"
are_overrun_by	1	B overran A	B walked all over A
paint	1	A painted B	A painted a picture of B
are_popularized_by	1	B popularized A	B popularized A and its work
are_scripted_by	1	B scripted A	B scripted all of A's actions and speeches
are_picked_by	1	B picked A	B picked A from a crowded field of competitors
decapitate	1	A decapitated B	A cut off B's head
are_rescued_by	1	B rescued A	B rescued A from a terrible predicament
baptize	1	A baptized B	A initiated B into the new religion
are_discovered_by	1	B discovered A	B discovered A
play_against	1	A played against B	A played against B
are_insured_by	1	B insured A	B insured A against any losses
are_deployed_by	1	B deployed A	B deployed A in the field
act_via	1	A acted via B	A took decisive action via B
communicate_through	1	A communicated through B	B served as a mouthpiece for A
communicate_via	1	A communicated via B	B served as a mouthpiece for A
are_usurped_by	1	B usurped A	B usurped all of A's power
talk_through	1	A talked through B	A used B as a public mouthpiece
countersue	1	A countersued B	A launched a counter suit against B
are_enlisted_by	1	B enlisted A	B enlisted A into its ranks
leave_behind	1	A left behind B	A went away and left behind B
accuse	1	A accused B	A accused B of heinous wrongdoing
communicate_with	1	A communicated with B	A opened up communications with B
dress	1	A dressed B	A helped B get dressed in the mornings
are_judged_by	1	B judged A	B judged A and found it wanting
seek_sympathy_from	1	A sought sympathy from B	A sought sympathy from B
are_retained_by	1	B retained A	B retained A's services
are_traumatized_by	1	B traumatized A	B's abusive behaviour traumatized A
photograph	1	A photographed B	A took a photograph of B
pitch_at	1	A pitched at B	A pitched a curve ball to B
sire	1	A sired B	A was the father that sired B
are_ennobled_by	1	B ennobled A	"B ennobled A with an aristocratic title, B dubbed A a knight"
are_hurt_by	1	B hurt A	B really hurt A
argue_before	1	A argued before B	A argued before the bench in B's court
are_controlled_by	1	B controlled A	B controlled every aspect of A's life
remember	1	A remembered B	A held on to memories of B
are_instructed_by	1	B instructed A	"B instructed A in the ways of the world, B gave A a detailed set of instructions"
unleash	1	A unleashed B	A unleashed B on the world
charge	1	A charged B	A charged B with a serious crime
discipline	1	A disciplined B	A taught B manners and discipline
heal	1	A healed B	A healed B's ailments
minister_to	1	A ministered to B	A ministered to B's spiritual needs
persuade	1	A persuaded B	A brought B around to its way of thinking
raise	1	A raised B	A raised B to maturity
question	1	A questioned B	A hurled a barrage of questions at B
are_facilitated_by	1	B facilitated A	B facilitated A's activities
round_up	1	A rounded up B	A rounded up B and its comrades
abet	1	A abetted B	A abetted B in its crimes
deal_with	1	A dealt with B	A reached a deal with B
worship_with	1	A worshipped with B	A worshipped with B in the same church
intimidate_with	1	A intimidated with B	A intimidated others with threats of violence from B
mate_with	1	A mated with B	A selected B as a mate
pick_up	1	A picked up B	A picked up B in a singles bar
are_robbed_by	1	B robbed A	"B robbed all of A's precious belongings, B robbed A's most precious belongings"
target	1	A targeted B	A lined up B as its next target
chase	1	A chased B	A chased after B
chase_after	1	A chased after B	A chased after B
are_cared_for_by	1	B cared for A	B cared for all of A's needs
flee_from	1	A fled from B	A fled from B and hid out
are_nurtured_by	1	B nurtured A	B nurtured A's soul
commission	1	A commissioned B	A commissioned a new work from B
are_roused_by	1	B roused A	"B roused A's passions, B roused A into passionate action"
rouse	1	A roused B	A roused B into passionate action
conquer	1	A conquered B	A achieved a total victory over B
create_for	1	A created stuff for B	"A poured all its creativity into its work for B, A tapped into its creative spirit to give B what it needed"
write_for	1	A wrote for B	"A wrote new material for B, A wrote lots of new stuff for B"
compose_with	1	A composed with B	A composed music and lyrics with B
are_examined_by	1	B examined A	B performed a thorough examination of A
are_fought_by	1	B fought A	B fought A tooth and nail
take_messages_for	1	A took messages for B	A diligently took messages for B
testify_before	1	A testified before B	A testified before B in open court
are_charged_by	1	B charged A	B charged A with a serious crime
are_chased_by	1	B chased A	B chased after A
indulge	1	A indulged B	A indulged B's every whim
are_guarded_by	1	B guarded A	B guarded A closely
spoil	1	A spoiled B	A spoiled B by pandering to its whims
advocate_for	1	A advocated for B	"A became an enthusiastic advocate for B's cause, A became an enthusiastic advocate in B's corner "
are_owed_by	1	B owed A	B owed A a great deal
are_missed_by	1	B missed A	B missed A now that A was gone
are_profiled_by	1	B profiled A	B created a detailed profile of A
write_to	1	A wrote to B	A wrote a long letter to B
convert	1	A converted B	A made a willing convert of B
speak_with	1	A spoke with B	A spoke with B at length
evaluate_with	1	A evaluated with B	A hired B to perform the necessary evaluations
guide	1	A guided B	A guided B in the ways of the world
mystify	1	A mystified B	"A seemed to B to be wrapped in a fog of mystery, A possessed an enigmatic air of mystery for B"
act_for	1	A acted for B	A acted on behalf of B in official matters
ask_questions_for	1	A asked questions for B	A was hired to get answers for B
interpret_for	1	A interpreted for B	A served as an interpreter for B
speak_for	1	A spoke for B	A spoke for B in public
are_counselled_by	1	B counselled A	B counselled A with sage advice
are_guided_by	1	B guided A	B guided A around life's obstacles
are_summoned_by	1	B summoned A	B summoned A to an emergency meeting
hit	1	A hit B	"A gave B an almighty wallop, A hit B with a roundhouse punch, A hit B with a sucker-punch"
are_probed_by	1	B probed A	B probed A for secrets and hidden weaknesses
anger	1	A angered B	"A made B go red with anger, A made B see red with anger"
sell_via	1	A sold via B	A used B as a middleman for its goods
are_influenced_by	1	B influenced A	B influenced A in subtle but important ways
are_subjugated_by	1	B subjugated A	"B's subjugation of A was complete, B made A its bitch"
are_reviewed_by	1	B reviewed A	B reviewed A's work to form a critique
abduct	1	A abducted B	A abducted B when no one expected it
are_impersonated_by	1	B impersonated A	B did a very good impersonation of A
rent_from	1	A rented from B	A rented its accommodation from B
borrow_from	1	A borrowed from B	A borrowed a lot of money from B
are_elected_by	1	B elected A	"B helped A to be elected, B voted for A multiple times"
owe	1	A owed B	A owed B a great deal
owe_to	1	A owed to B	A owed a great deal to B
rob	1	A robbed B	A robbed B's most precious belongings
respond_to	1	A responded to B	A gave B a detailed response
influence	1	A influenced B	A influenced B in subtle but important ways
are_received_by	1	B received A	B graciously received A into its home
cause_trouble_for	1	A caused trouble for B	A caused a great deal of trouble for B
corrupt	1	A corrupted B	A corrupted B's heart and soul
are_overwhelmed_by	1	B overwhelmed A	B overwhelmed A with its unstoppable might
molest	1	A molested B	A molested and abused B
handle	1	A handled B	A handled B's business needs
assassinate	1	A assassinated B	A carried out an assassination attempt on B
blow_up	1	A blew up B	A blew up B with a car bomb
assault	1	A assaulted B	A brutally assaulted B
beat_up	1	A beat up B	A beat up B in a brutal assault
mourn_for	1	A mourned for B	A mourned for the loss of B
joke_about	1	A joked about B	A told questionable jokes about B
pray_for	1	A prayed for B	A prayed for B's soul
identify	1	A identified B	A identified B in a line up
interact_with	1	A interacted with B	A interacted with B socially
are_targeted_by	1	B targeted A	B lined up A as its next target
distrust	1	A distrusted B	"A had every reason to distrust B, A's distrust of B ran deep"
descend_from	1	A descended from B	A traced its lineage back to B
learn_with	1	A learned with B	A was a student in the same school as B
are_wanted_by	1	B wanted A	B wanted to find and arrest A
rely_on	1	A relied on B	A relied on B more and more
are_bullied_by	1	B bullied A	B bullied and harassed A all the time
breastfeed	1	A breastfed B	A nurtured B with the milk of loving kindness
attend_to	1	A attended to B	A attended to B's every need
facilitate	1	A facilitated B	A facilitated B's activities
create_for	1	A created for B	"A dreamed up new creations for B's enjoyment, A came up with creative innovations for B"
cook_for	1	A cooked for B	A cooked exquisite meals for B
farm_for	1	A farmed for B	A ran a large farm for B
fool	1	A fooled B	A made a fool of B
answer	1	A answered B	A answered B's questions
lease_from	1	A leased from B	A leased its accommodation from B
pay	1	A paid B	A paid B what it owed
are_transported_by	1	B transported A	B transported A to where it needed to go
export_to	1	A exported to B	A exported goods to B
fund	1	A funded B	A funded B's business ventures
guarantee	1	A guaranteed B	A guaranteed B to its creditors
order_from	1	A ordered from B	A ordered goods from B
are_dominated_by	1	B dominated A	B dominated every aspect of A's life
are_lured_by	1	B lured A	B lured A out of hiding
inform	1	A informed B	A passed information to B
exorcise	1	A exorcised B	"A exorcised the ghostly memory of B, A forever banished the ghostly memory of B, A hid memories of B in the deepest recesses of its mind, A underwent hypnotherapy to banish memories of B"
popularize	1	A popularized B	A popularized B in the public imagination
deliver_to	1	A delivered to B	A delivered goods and messages to B
topple	1	A toppled B	A toppled B from its perch
censure	1	A censured B	A censured B for its unauthorized activities
threaten_with	1	A threatened with B	A used B to threaten others with violence
lend_to	1	A lent to B	"A lent money to B, A gave B a loan"
answer_to	1	A answered to B	A answered only to B
carry_for	1	A carried for B	A carried water for B
champion	1	A championed B	A was in B's corner and championed B's cause
elect	1	A elected B	A helped to elect B to high office
please	1	A pleased B	A's efforts pleased B
work_under	1	A worked under B	A worked hard under B
challenge	1	A challenged B	"A presented a serious challenge to B, A attacked everything B stood for"
collude_with	1	A colluded with B	A colluded with B in underhand activities
harass	1	A harassed B	A harassed B continuously
shill_for	1	A shilled for B	A promoted B's cause to anyone who would listen
are_overshadowed_by	1	B overshadowed A	B's shadow engulfed A entirely
overshadow	1	A overshadowed B	A's shadow engulfed B entirely
repress	1	A repressed B	A repressed B's natural ebullience
subdue	1	A subdued B	A subdued any dissent from B
pose_for	1	A posed for B	A posed for B's pictures
are_managed_by	1	B managed A	B managed A's career
are_greeted_by	1	B greeted A	B greeted A warmly
study_under	1	A studied under B	"A studied under B, A studied under B's tutelage, A took lessons from B"
are_overlooked_by	1	A was overlooked by B	"B paid no attention to A, B didn't acknowledge A's existence, B hardly noticed A at all"
read_about	1	A read about B	A read all about B in the papers
