a	Letter	"To see the letter ""A"" in your dream represents the beginning of a new stage."											
abacus	Machine	To see or use an abacus in your dream refers to your outdated views.											
abalone	Invertebrate	To see or eat abalone in your dream indicates a transitional period in your life.											
abandonment	Action	To dream that you are abandoned suggests that it is time to leave behind past feelings and characteristics that are hindering your growth.											
abbey	Building	"To see an abbey in your dream signifies spirituality, peace of mind and freedom from anxiety."	To see an abbey in ruins indicates feelings of hopelessness.										
honeycomb	Structure	To see a honeycomb in your dream suggests that you are trying to hold on to the sweetness and pleasures that you are experiencing in your life.											
honeydew	Food	To see or eat honeydew in your dream implies that you are in a relaxed state in your relationship.											
honeymoon	Unknown	To dream that you are on your honeymoon indicates that you are expressing some fear in your sex life.											
honeysuckle	Plant	To see honeysuckle in your dream symbolizes your ambition and drive.											
hood	Person	To see a hood in your dream signifies that you are hiding and cowering from a person or situation.	To see the hood of a car in your dream symbolizes your protective emotional cover.										
hoodie	Unknown	To wear a hoodie in your dream signifies warmth and comfort.											
hoof	Body_Part	"To see a hoof in your dream represents balance, grace, and discipline."											
hookah	Place	To see or smoke a hookah in your dream represents ease and relaxation.											
hookie	Unknown	"To dream that you are playing hookie from school or work suggests that you are trying to ""ditch"" or avoid some responsibility."											
hoopoe	Bird	To see a hoopoe in your dream signifies betrayal.											
hopping	Unknown	To dream that you are hopping implies that you need to get both feet off the ground in order to move forward in life.											
hopscotch	Activity	To dream that you are playing hopscotch represents your childish and/or immature behavior.											
horizon	Place	To see the horizon in your dream symbolizes a new beginning or a somber conclusion.											
horizontal	Unknown	To dream of a horizontal line or something that is horizontal symbolizes the material world and physical plane.											
horn	Body_Part	To see or hear a horn in your dream signifies your need to pay attention to your inner voices and intuition.											
horoscope	Unknown	To read the horoscopes in your dream indicate that you are expressing some concerns about your future.											
horror	Unknown	To dream that you are in horror over something symbolizes genuine fear and parallels your waking feelings of horror.											
horse	Animal	"To see a horse in your dream symbolizes strength, power, endurance, virility and sexual prowess."	"To see a black or dark horse in your dream signifies mystery, wildness, and the unknown."	To see a dead horse in your dream indicates that something in your life that initially offered you strength is now gone.	To dream that you are riding a horse suggests that you are in a high position or position of power.	"To see an armored or medieval horse in your dream refers to your fierceness, aggression, power and/or rigidity."	To dream that you are bathing a horse represents a renewal of strength and vigor.	To dream about a talking horse refers to higher knowledge.					
horse_trailer	Unknown	To see a horse trailer means that you are underutilizing your power and strength.											
horseman	Person	To see a headless horseman in your dream suggests that you are under some negative influence.	To dream that you are a headless horseman implies that you have an inflated sense of power.										
horseback_riding	Action	To dream that go horseback riding indicates that you are in a high position or in a position of power.											
horserace	Unknown	To dream that you are watching a horserace represents the power and drive you need to move forward in life.											
horseradish	Food	To see or taste horseradish in your dream suggests that you have made an overly strong statement.											
horseshoe	Unknown	To see a horseshoe in your dream signifies luck and success in your endeavors.											
hose	Place	To see a hose in your dream is symbolic of how you are directing and expressing your emotions.											
hospital	Building	To see or dream that you are in a hospital symbolizes your need to heal or improve your physical or mental health.											
hospitality	Unknown	To dream that you have hospitality denotes your generosity and kindness toward others.											
hostage	Person	To dream that you are a hostage indicates that you are feeling victimized or powerless.											
hostility	Action	To dream of hostility suggests that you are repressing these feelings in your waking life and they are manifesting in your dream.											
hot	Unknown	To dream that you are hot signifies passion and heated emotions.											
hot_air_balloon	Unknown	To see or dream that you are in a hot air balloon suggests that it is time to overcome your depression.											
hot_chocolate	Food	"To make or drink hot chocolate in your dream symbolizes contentment, warmth and love."											
hot_dog	Substance	"To see or eat a hot dog in your dream is phallic symbol representing masculinity, sexual energy, and vigor."											
hot_dog_cart	Unknown	To see or eat at a hot dog cart in your dream implies that you are not investing enough time to cater to your emotional or sexual well-being.											
hot_pepper	Substance	To see or eat hot pepper in your dream symbolizes your hot temper.											
hot_sauce	Food	To see or taste hot sauce in your dream implies that you need to add some pizzazz to your life.											
hot_spring	Unknown	To see a hot spring in your dream symbolizes relaxation.											
hot_tub	Unknown	To dream that you are in a hot tub indicates that you are unveiling aspects of your subconscious.											
hotel	Building	To see a hotel in your dream signifies a new state of mind or a shift in personal identity.											
hound	Animal	To see a hound in your dream indicates that you are sticking your nose into other people's business.											
hour	Unknown	To dream about the hour refers to a passage of time.	"To dream about happy hour represents sensual enjoyment, stimulation, and relaxation."										
hourglass	Tool	To see an hourglass in your dream denotes that time is running out for you.											
house	Activity	To see a house in your dream represents your own soul and self.	To see an abandoned house in your dream implies that you have left behind your past.	To dream that you are cleaning your house signifies your need to clear out your thoughts and get rid of old ways.									
house_sitting	Unknown	To dream that you are house sitting means that you are tending to the needs of others and putting their needs first instead of your needs.											
houseboat	Conveyance	To see or live in a houseboat in your dream suggests that you are extremely in tune with your emotions.											
houseguest	Person	To dream that you have a houseguest represents your accommodating nature.											
housekeeper	Person	To dream that you have a housekeeper indicates that someone may be trying to run your life from the sideline or background.											
housewife	Person	To dream that you are a housewife suggests that your work is never done.											
housework	Activity	To dream that you are doing housework suggests that you are making changes in your lifestyle and the way you are living.											
hovercraft	Conveyance	To see or ride in a hovercraft in your dream signifies your ability to adapt to various environments and situations.											
howling	Unknown	To dream that you are howling represents wounded feelings and hidden fears.	To hear howling in your dream refers to loneliness or solitude.										
hugging	Unknown	To dream that you are hugging someone symbolizes your loving and caring nature.	To dream that someone is hugging you suggests that you need to let down your guard and allow your true feelings to show.										
hula_dancing	Unknown	To see hula dancing in your dream symbolizes joy.											
hula_hoop	Unknown	To see a hula hoop or to hula hoop in your dream indicates that some aspect of your life is taking you in circles.											
hula_skirt	Unknown	To see or wear a hula skirt in your dream signifies your need for more leisure time or your desires to escape.											
humid	Unknown	To dream that it is humid suggests that you may be lacking some understanding in a situation.											
humidifier	Unknown	To see or use a humidifier in your dream suggests that you are looking for a fresh infusion of ideas within your creative or work life.											
hummer	Action	To see or drive a Hummer in your dream suggests that you have little or no regard for others.											
humming	Activity	To dream that your ear is humming or that you hear humming suggests that you need to have some balance in your life.											
hummingbird	Bird	To see hummingbirds in your dream suggest that seemingly small ideas and concepts can possess much potential and power.											
humpty_dumpty	Unknown	To see Humpty Dumpty in your dream suggests that you need to exercise care in some fragile situation.											
hunchback	Person	To see a hunchback in your dream indicates that you are feeling burdened by your daily responsibilities and problems.											
hunting	Activity	"To dream that you are hunting suggests that you are seeking or pursuing some inner desire, either emotional or physical."	To see someone else hunting an animal in your dream suggests that you are trying to locate a hidden aspect of your own self.										
hurricane	Unknown	To see a hurricane in your dream indicates sudden unexpected changes occurring in your life.	To dream that you are swept up in a hurricane suggests that both your mental and emotional forces are building up inside and making themselves known.										
hurry	Action	To dream that you are in a hurry suggests that may be unprepared for a situation.											
hurt	Action	To dream that you are hurt signifies wounded emotions or feelings that you may have suppressed.											
husband	Person	To see your husband in your dream signifies the waking relationship with your husband and the subconscious feelings you have towards him.	To dream that you have a husband (but you do not in your waking life) symbolizes some sort of partnership and/or commitment.	To dream that your husband has no teeth or is wearing dentures implies that he is not being honest or truthful about some matter.	To dream that you are searching for your husband implies that you feel he is not always there for you.								
hut	Structure	To see or live in a hut in your dream represents the basic necessities and comforts.											
hyacinth	Plant	To see hyacinth in your dream symbolizes severe jealousy.											
hydra	Invertebrate	To see a hydra in your dream signifies a huge obstacle that is standing in your way toward your goals.											
hydrant	Place	To see a hydrant in your dream symbolizes renewal and rejuvenation.	To dream of a bursting fire hydrant indicates an outburst of emotions.										
hydroplane	Conveyance	To see a hydroplane in your dream suggests that you will get through an emotional issue with relative ease.											
hyena	Animal	To see a hyena in your dream indicates greed or uncleanness.											
hypnotist	Person	To dream that you are a hypnotist represents your powerful influence over others.											
hypothermia	Unknown	To dream that you have hypothermia suggests that you are feeling emotionally numb.											
hysterectomy	Activity	To dream that you have a hysterectomy indicates that you are going into new stage of growth in your life.											
ibis	Bird	"To see an ibis in your dream symbolizes devotion, perseverance and aspirations."											
ice	Building	To see ice in your dream suggests that you are lacking a flow of ideas and thoughts.	To dream that you slip on ice symbolizes your insecurities and self-esteem issues.	To dream that you fall through ice suggests that your emotions are threatening to come crashing through.	To dream of melting ice implies that you are slowly warming up to a situation.								
ice_cream	Food	"To see or eat ice cream in your dream denotes good luck, pleasure, success in love and satisfaction with your life."	"To dream that you are eating bad or sour ice cream signifies sorrow, disillusionment, or betrayal."	To see ice cream melt in your dream symbolizes failure to realize your hopes and desires.									
ice_cream_truck	Unknown	To see an ice cream truck in your dream refers to opportunities that can potentially pass you by.											
ice_maker	Unknown	To see an ice maker in your dream indicates that you are shutting others out and closing off your emotions.											
ice_pick	Tool	To see an ice pick in your dream represents suppression of your cold feelings.											
ice_sculpture	Unknown	To see an ice sculpture in your dream indicates that a situation or event has caused your life to come to a standstill.											
ice_skating	Activity	To dream that you or others are ice skating suggests that you need to trust in yourself and your actions.											
iceberg	Substance	To see an iceberg in your dream suggests that you are not utilizing your fullest potential and strengths.											
icicle	Substance	To see icicles in your dream indicate a problem or concern that has been lingering over you.	To see icicles forming in your dream symbolize difficulties in your life.										
icing	Action	To put icing on a cake or pastry indicates that you are behaving superficially.	"To see or eat icing in your dream suggests that what may seem good in the beginning, will ultimately be unsatisfying and unfulfilling."										
ideal	Person	To dream that you meet the ideal person suggests that you may be too unrealistic.											
idiot	Person	To dream that you are an idiot or call somebody one indicates that you are making a situation more difficult than it need by.											
igloo	Structure	"To see or live in an igloo in your dream symbolizes someone who appears cold and frigid on the outside, but is really a warm and caring person on the inside."											
ignition	Action	To turn the ignition in your dream suggests that you are set to move forward toward your goals.											
iguana	Animal	"To see an iguana in your dream represents harshness, cold-heartedness or fierceness."											
illness	Illness	"To dream that you have an illness denotes despair, unpleasant changes, or some emotional breakdown."											
illumination	Unknown	To see a strange illumination in your dream represents thoughts from the primal aspects and less developed parts of your subconscious.											
imitation	Activity	To dream that you are being imitated suggests that you are setting an example of yourself.											
immaculate_conception	Unknown	To dream of an immaculate conception indicates that you are opening up yourself to a new level of spirituality or consciousness.											
immobile	Unknown	To dream that you are immobile signifies feelings of being trapped.											
immortal	Person	"To dream that you are immortal represents longevity, continuity, or fearlessness."											
imp	Person	To see an imp in your dream represents chaos and disorder.											
implant	Tool	To dream that you get or have breast implants refer to your body image issues.											
implosion	Event	To see an implosion in your dream symbolizes controlled anger.											
imposter	Person	To dream that you have an imposter suggests that you are trying to be someone you are not.											
in-law	Person	To see your in-law in your dream represents a working relationship which has many different possibilities.											
inauguration	Action	To dream of an inauguration signifies personal growth or a rise in your current status.											
incense	Substance	To dream that you are burning incense indicates spiritual learning.											
incoherent	Unknown	To dream that you are incoherent symbolizes extreme nervousness or excitement.											
income	Unknown	To dream about your income indicates financial concerns and worries.											
incompetent	Person	To dream that you or someone is incompetent indicates your own feelings of insecurity.											
incredible_hulk	Unknown	"To see or dream that you are the Incredible Hulk suggests that you need to better control your emotions, especially your anger."											
incubator	Unknown	To see an incubator in your dream suggests that you need some stability and calmness in your life.	To dream that you are in an incubator indicates that you have been acting prematurely.										
incubus	Person	To see or dream of an incubus symbolizes some deep fear.											
indecision	Unknown	To dream that you are indecisive reflects your waking state of indecision.											
independent	Person	To dream that you are independent represents endless possibilities.											
india	Place	To dream that you are in India depends on your own personal associations with the country.											
indian	Person	To see an Indian in your dream represents the primitive and instinctual aspect of yourself.											
indifferent	Unknown	To dream that you are being indifferent suggests that you are trying to hide your true concerns.	To dream that someone is indifferent towards you implies that you are unsure of their intentions or feelings.										
indigo	Plant	To see indigo in your dream suggests that you are taking advantage of others.											
indigestion	Illness	To dream that you have indigestion suggests that there is an issue or problem plaguing you.											
infant	Person	To see an infant in your dream represents a brand new project.											
infection	Event	To dream that you have an infection indicates negative thoughts and ideas that you have internalized.											
infertile	Unknown	To dream that you are infertile represents a lack of creativity.											
infestation	Unknown	To dream of an infestation points to problems and issues that you have ignored or avoided for too long.											
infidelity	Unknown	To dream of infidelity (either by you or someone else) represents issues of abandonment and neglect in a relationship.											
infinity	Unknown	To see the infinity symbol in your dream represents time and longevity.											
inflatable_bed	Unknown	To see or sleep on an inflatable bed refers to a temporary situation or relationship.											
information_booth	Unknown	To see or dream that you are in front of an information booth indicates hat you are looking for advice and for some direction in your life.											
infringement	Activity	To dream of an infringement indicates that you are infringing on another's (dm) copyright.											
inhaling	Unknown	To dream that you are inhaling represents wish fulfillment.											
inheritance	Action	To dream that you receive an inheritance represents the opportunities that are available to you in your waking life.											
initial	Unknown	To see initials in your dream may be a pun on a phrase or a metaphor.											
initiation	Action	To dream of an initiation indicates that you are pursuing a new path or goal.											
ink	Substance	To see ink in your dream represents creativity.	To see bottles of ink in your dream suggest that a solution to your problem will soon become apparent.										
inn	Building	To see an inn in your dream represents a transition in your waking life.											
inner_tube	Place	To see an inner tube in your dream represents the Self.											
inquisition	Event	To dream that you are part of an inquisition indicates feelings of guilt.											
inscription	Activity	To see an inscription in your dream signifies a message from your subconscious.											
insecticide	Substance	To see or use an insecticide in your dream implies that you need to rid yourself of some anxiety in your life.											
inside	Place	To dream that you are inside suggests that you need to take time for some self introspection.											
inside_out	Unknown	To dream that your clothes are worn inside out represents your non-conformist attitude.	To turn your clothes inside out in your dream suggests that you are trying to protect yourself against something.										
insomnia	Illness	To dream that you have insomnia indicates that you are feeling overwhelmed.											
instant_message	Unknown	To dream that you receive an instant message signifies an urgent message from your subconscious.	To dream that you are sending an instant message represents your connection to others and your network of friendships.										
instruction	Activity	To follow or read instructions in your dream suggests that you are seeking some advice on what you should do next.											
instrument	Action	To see musical instruments in your dream indicate the expectation of fun and pleasures.	To see surgical or medical instruments in your dream mean that you need to carefully plan out your next move.										
insulation	Activity	To see or install insulation in your dream symbolizes protection and warmth.											
insult	Activity	To dream that you insult someone indicates that you are feeling insecure about a waking relationship or situation.											
insurance	Unknown	To dream that you are buying insurance refers to a lack of trust.											
intercom	Unknown	To see or use an intercom in your dream suggests that you are always readily available to those who need your help.	To hear a voice over an intercom represents messages from your subconscious.										
interest	Activity	To dream that you are earning interest in an account implies that your hard work will pay off in the long run.											
internet	Unknown	To dream of the internet signifies your need to connect and communicate with a larger network of people.											
interpreter	Person	To see or use an interpreter in your dream suggests that there is an issue or problem that you are having difficulties understanding.											
intersection	Action	To dream that you are at an intersection represents a decision or choice that you need to make in order to progress forward.											
interstate	Place	To see a highway in your dream represents your sense of direction and your life's path.	To see an elevated highway in your dream implies that you are taking the higher road in some situation.										
interview	Event	To dream that you are at an interview denotes your anxiety over being judged by others.											
intestine	Body_Part	To see intestines in your dream signify compassion.											
intoxicated	Unknown	To dream that you are intoxicated indicates that you are losing control of some situation.											
intravenous_drip	Event	To see or have an intravenous drip in your dream represents a time for healing.											
intruder	Person	To see an intruder in your dream represents your feelings of guilt.											
invalid	Person	To see an invalid in your dream suggests that you are feeling weak and vulnerable.											
invasion	Activity	To dream of an invasion represents your need to be more assertive.											
inventor	Person	To see an inventor in your dream symbolizes your achievements.	To dream that you are an inventor represents your creative side and aspirations.										
inventory	Activity	To dream that you are taking or counting inventory symbolizes abundance.											
inversion_table	Unknown	To see or use an inversion table in your dream implies that you need to look at something from an entirely different angle or perspective.											
investigator	Person	To see a detective in your dream signifies the thrills and dangers in some aspect of your waking life.	To dream that you are a detective indicates that you are searching for your hidden abilities and talents.	To dream that you are being followed by a detective signifies guilt.									
investment	Action	To dream that you are making an investment represents your preparation for the future.											
invincible	Unknown	To dream that you are invincible symbolizes power and confidence.											
invisible	Unknown	To dream that you are invisible signifies feelings of not being noticed or recognized for what is important to you.											
invitation	Event	To see or respond to an invitation in your dream suggests that you need to join or incorporate certain characteristics into yourself.											
iodine	Substance	To see iodine in your dream suggests that you need to pace yourself in whatever you do.											
ipod	Unknown	To see or listen to an iPod in your dream indicates a need for enjoyment.											
iris	Tool	"To see an iris in your dream symbolizes wisdom, faith, valor, peace and purity."											
iron	Tool	"To see iron metal in your dream symbolizes harshness, anger, aggression, ruthlessness, and conflict."	"To see red, hot iron in your dream represents action."	"To see old, rusty iron in your dream signifies poverty and disappointment."									
ironing	Activity	To dream that you are ironing signifies domestic comfort and orderliness.	"To dream that you burn your hands while ironing signify loss of tranquility, illness, or jealousy."										
island	Place	"To see or dream that you are on an island signifies ease, relaxation and comfort."	To dream that you are stranded on an island suggests that you need to get away from the demands of your daily life.										
israel	Place	To dream that you are going or in Israel indicates that you are experiencing some personal spiritual unrest.											
itch	Illness	To dream that you have an itch refers to sexual urges.											
ivory	Substance	"To see ivory in your dream symbolizes purity, strength, and endurance."											
ivy	Plant	To see ivy in your dream symbolizes longevity and immortality.	To see withered ivy in your dream denotes broken engagements and sadness.										
jack	Animal	To see or use a jack in your dream suggests that you are looking for balance in your life.											
jack_frost	Unknown	To see Jack Frost in your dream represents someone who is cold or distant.											
jack_in_the_box	Unknown	To see or play with a jack in the box toy in your dream signifies a pleasant surprise.											
jack_o'_lantern	Unknown	To see a Jack O' Lantern in your dream represents a force or spirit that is protecting over you.	To carve a Jack O' Lantern in your dream suggests that you are trying to put on a tough or mean face.										
jackal	Animal	To see a jackal in your dream refers to manipulation.											
jackdaw	Bird	To see a jackdaw in your dream suggests that you need to be more sharing and giving.											
jacket	Place	To see or wear a jacket in your dream represents the image that you want to present and project to the outside world.											
jackfruit	Food	To see or eat jackfruit in your dream symbolizes fertility and abundance.											
jackhammer	Machine	To see a jackhammer in your dream suggests that you need to make some drastic changes in your life.											
jackpot	Unknown	To see or win a jackpot in your dream suggests that you are too impulsive and relying too much on fate.											
jack	Animal	To play with jacks in your dream symbolizes your ability to take advantage of what life has to offer.											
jacuzzi	Unknown	To dream that you are in a Jacuzzi suggests that you need to cleanse your emotions and rid yourself of all the negativity you are experiencing in your sex life.											
jade	Animal	"To see jade in your dream indicates growth, healing power, purity, harmony, luck, immortality, and truth."											
jaguar	Animal	"To see a jaguar in your dream represents speed, agility, and power."											
jail	Structure	"To dream that you are in jail suggests that you are feeling restrained or censored in your work environment, relationship or situation in your life."											
jailbreak	Action	To dream that you are breaking out of jail refers to your desire or need to escape from a restrictive situation or relationship.											
jailer	Person	"To see a jailer in your dream suggests that you are being restrained in some way, either by your own belief system or by someone."											
jam	Event	"To dream that you are eating jam signifies pleasant surprises, sweet things and new discoveries."	To dream that you are making jam refers to a happy home life.	To dream that you are spreading jam indicates that you may be spreading yourself too thin.									
janitor	Person	To see or dream that you are a janitor suggests that you need to work on cleaning up an aspect of your life.											
january	Unknown	To dream of the month of January signifies loss of love and broken companionship.											
japan	Place	To dream about Japan or that you are in Japan depends on your own personal associations with the country.											
jar	Event	To see a jar in your dream symbolizes the feminine womb.	To see a honey bear jar in your dream represents a love one.										
jasmine	Plant	"To see jasmine in your dream signifies love, beauty, protection and happiness."											
jasper	Substance	To see jasper in your dream signifies longevity and healing.	To dream that a jasper stone is placed in your mouth means that the truth of some matter will soon be revealed to you.										
jaundice	Illness	To dream that you or someone has jaundice indicates indecision.											
javelin	Weapon	To dream that you are stabbed by a javelin signifies a threat to your safety and freedom.											
jaw	Tool	"To see your own jaw in your dream represents your stubbornness, determination and forcefulness."	To dream that you break or dislocate your jaw suggests that you are compromising your own beliefs and principles.										
jawbreaker	Food	"To see or eat a jawbreaker in your dream indicates that a situation may look tempting and inviting, but it is in actuality very difficult to handle and control."											
jay_leno	Unknown	To see Jay Leno in your dream suggests that you are looking for some comic relief.											
jaybird	Bird	To see a jaybird in your dream suggests that you are being too arrogant and overly confident of your abilities.											
jealousy	Unknown	To dream that you are jealous of another person signifies that such feelings may be carried over from your waking life.											
jekyll_and_hyde	Person	To dream that you are Jekyll and Hyde indicates that you are battling between good and evil.											
jedi	Unknown	To dream that you are a Jedi indicates that you are in tune with your spiritual powers.	To see a Jedi in your dream symbolizes the challenges in your life and the difficult decisions you are confronted with.										
jeep	Conveyance	To see a jeep in your dream suggests that you need to adopt a more active lifestyle.											
jelly	Food	To see or eat jelly in your dream represents insight into a situation you have been wondering about.											
jellyfish	Invertebrate	To see a jellyfish in your dream represents painful memories that is emerging from your subconscious.											
jerk	Action	To feel a sudden jerk or twitch in your dream may be an actual physical contraction of your muscles usually occurring just as you are fall asleep.											
jester	Person	To see a jester in your dream indicates that trivial matters and silly pastimes will divert your attention from more important issues.											
jesus	Person	To see Jesus in your dream foretells that your greatest desires and goals will be realized.	"To dream that Jesus speaks to you or that you are praying with Him signifies that you will be blessed with true peace of mind, joy and contentment."	To dream that Jesus releases a white dove represents a message from the Holy Spirit and spreading the word of God.	To call the name of Jesus Christ in your dream implies your need for help.								
jet	Event	"To see a jet flying overhead in your dream signifies speed, pride or power."	To see a jet stone in your dream signifies a period of mourning and sadness.										
jet_pack	Unknown	To see or wear a jet pack in your dream suggests that you are being propelled to a position of power.											
jet_ski	Unknown	To see or dream that you are on a jet ski represents a journey of self-discovery.											
jetty	Structure	To dream that you are on a jetty means that you are delving into your emotions.	To see a jetty in your dream implies that you are trying to create a sense of calm around yourself.										
jewelry	Unknown	To see jewelry in your dream signifies status and your own sense of self worth and personal value.	To dream that you receive jewelry as a gift indicates that you need to acknowledge and incorporate those corresponding qualities within your own self.	To see broken jewelry in your dream signifies disappointments in achieving your goals and attaining your highest desires.	To dream that you are wearing too much jewelry means that you are trying to hard to impress others.								
jewelry_box	Unknown	"To see a jewelry box in your dream represents your sense of self-worth, self-value, and potential."											
jewel	Person	To see or wear jewels in your dream signify a value within yourself or within others in which you admire and cherish.	To find jewels in your dream signify a rapid climb to success.										
jig	Activity	To dream that you are dancing a jig symbolizes joviality and light hearted fun.											
jigsaw_puzzle	Unknown	To see a jigsaw puzzle in your dream represents a mental challenge or a problem in your waking life that you need to solve.											
jitterbug	Activity	"To dance the jitterbug in your dream refers to your positive, upbeat and enthusiastic attitude."											
job	Activity	To dream that you are looking for a job suggests that you are feeling unfulfilled and frustrated in a current phase of your life.	To dream about your current job suggests that you need to work harder or be more effective at work.	To dream that you lose your job represents instability and insecurity in your waking life.									
jockey	Person	To see or dream that you are a jockey suggests that you are in an elevated position.											
jockstrap	Unknown	To see or wear a jockstrap in your dream indicates that you are feeling vulnerable or weak in some sexual situation.											
jogging	Activity	To dream that you are jogging suggests that you are proceeding through life at a steady pace.											
joint	Substance	To dream that you are having joint problems suggest that things are not coming together the way you want it to.											
joke	Activity	To dream that you are telling a joke denotes that you are not being taken seriously and as a result you are feeling frustrated.	To hear a joke in your dream signifies that you are doing something that is either pointless or ridiculous.										
joker	Substance	To see the joker card in your dream indicates endless possibilities.											
joshua_tree	Plant	"To see a Joshua Tree in your dream symbolizes spirituality, purity and natural achievement."											
journal	Tool	To write or read a journal in your dream suggests that you are trying to change or rewrite the past in order to suit your own needs.	To dream that someone is reading your journal indicates that there is a secret you are keeping.										
journey	Action	"To dream that you are going on a journey signifies profits, self-discovery or progress."	To dream that your friends go on a journey signifies a welcoming and harmonious change.	To dream of the band Journey represents advice that some of their songs may offer in some waking situation.									
jousting	Unknown	To joust in your dream signifies your determination and drive to push forward in any circumstance.	To watch a jousting match in your dream indicates that you need to be more direct about a problem or situation that you are trying to deal with.										
jubilee	Unknown	To dream of a jubilee signifies pleasurable endeavors.											
judge	Person	To see a judge in your dream denotes feelings of guilt.											
jug	Unknown	To see a jug in your dream symbolizes innocence abstinence and virginity.	To see an empty jug in your dream implies that something is lacking in your life.	To see a broken or cracked jug in your dream signifies infidelity.									
juggling	Activity	To dream that you are juggling indicates that you are trying to do too much at one time.											
juice	Substance	To drink juice in your dream represents the gift of life and vitality.											
juicer	Tool	To see or use a juicer in your dreams suggests that you are in need of more energy.											
jukebox	Machine	To see a jukebox in your dream suggests that you are not trying your hardest.											
julius_caesar	Individual	To see Julius Caesar in your dream points to your own drive and leadership abilities.											
july	Unknown	"To dream of the month of July signifies hope, knowledge or productivity."											
jumping	Action	To dream that you are jumping indicates that you need to take a risk and go for it.											
jumping_jack	Unknown	To dream that you are doing jumping jacks signifies your need for more balance in your life.											
jumper_cable	Tool	To see or use booster cables in your dream suggests that you need to get a jumpstart on your goals.											
june	Unknown	To dream of the month of June signifies gains and progress in your endeavors.											
jungle	Place	To dream that you are in a jungle signifies aspects of yourself and your personality that may be inhibited.											
juniper	Substance	To see a juniper tree in your dream indicates that you need to take the negative with the positive.											
junk	Conveyance	To see junk in your dream symbolizes your need to get rid of and discard old ways of thinking and old habits.											
junk_mail	Unknown	To see or receive junk mail in your dream indicates that you need to stop dwelling on minor details.											
junkyard	Place	"To dream that you in a junkyard represents fear, frustration, and anger which you have repressed and kept inside."											
jupiter	Unknown	"To see Jupiter in your dream symbolizes creativity, energy, success, optimism, generosity, pleasure and extravagance."											
jury	Unknown	To see a jury in your dream suggests that you are placed under scrutiny by others.	To dream that you are part of a jury indicates your tendency to pass judgment on others.										
jury_duty	Event	To dream that you have jury duty signifies the importance of your belief and opinions.											
justice	Event	To dream about justice refers to feelings that you have been wronged or treated unfairly.											
kaleidoscope	Unknown	To see a kaleidoscope in your dream symbolizes the different fragments and facets that make up character.											
kali	Plant	"To see the Hindu goddess, Kali in your dream symbolizes the protective mother."											
kangaroo	Animal	To see a kangaroo in your dream refers to maternal and paternal protection.	To dream that a kangaroo attacks you indicates that your reputation is being called into question.										
karaoke	Activity	To dream that you are taking part in karaoke suggests that you are too overly confident in your abilities.											
karate	Activity	To dream that you are doing karate suggests that you need to direct your energy and concentrate them toward your goals.											
karma	Event	To dream about karma represents your relationships and what you give and receive from others.											
katydids	Unknown	To see katydids in your dream represents your lackadaisical attitude.	To hear katydids in your dream signify your over-reliance on others.										
kayak	Conveyance	To see a kayak or go kayaking in your dream indicates that you are emotionally well balanced.											
keel	Tool	To dream of the keel represents emotional balance and strength.											
keepsake	Unknown	To dream of a keepsake represents your acceptance to love and being loved.											
keg	Unknown	To see a keg in your dream symbolizes your struggles against adversity.											
kelp	Unknown	To see kelp in your dream symbolizes the emotional difficulties that you experience in life.											
kennel	Building	To dream that you are at the kennel indicates that you are feeling shut out of some situation or relationship.											
kerosene	Substance	"To see or use kerosene in your dream symbolizes vigor, vitality and power."											
ketchup	Food	"To see or eat ketchup in your dream represents simplicity, youth, and happiness."											
kettle	Tool	To see a kettle in your dream symbolizes the mundane aspects of your life.	To see a kettle of boiling water in your dreams signifies great and laborious work ahead.										
key	Tool	"To see a key in your dream symbolizes opportunities, access, control, secrets, freedom, knowledge or responsibilities."											
key_chain	Unknown	To see a key chain in your dream indicates your ability to adapt to most any situations.											
key_maker	Unknown	To see a key maker in your dream suggests that there is something that you need help to unlock or uncover.											
keyboard	Tool	To see a computer keyboard in your dream indicates that there is a message that you need to get out or an idea that you need to share.	To see or play a musical keyboard in your dream represents harmony.										
keyhole	Unknown	To dream that you are peeping through a keyhole suggests that you do not have full view of some situation.	To dream that someone is looking through a keyhole suggests that your privacy is being invaded.										
khaki	Unknown	To wear khakis in your dream suggest that there is something that you are not seeing clearly on.											
kid	Animal	"To see a kid (baby goat) in your dream represents a small lapse in judgment Alternatively, it may mean that you are spending too much time on pleasure and leisure."											
kidney	Body_Part	To dream of your kidneys represent a need for cleansing.											
killing	Action	To dream that you have been killed suggests that your actions are disconnected from your emotions and conscience.											
killer	Animal	To see a killer in your dream suggests that an essential aspect of your emotions have been cut off.											
killer_whale	Animal	To see a killer whale in your dream indicates that you need to be more social or more vocal about something.											
kilt	Unknown	To see or wear a kilt in your dream signifies kinship camaraderie and masculinity.											
kimono	Unknown	To see or wear a kimono in your dream symbolizes Japan.											
kindergarten	Unknown	To dream that you are in kindergarten suggests that you are going through a transitional phase in your life.											
king	Substance	To see a king in your dream indicates that success and prestige are within reach.	To dream that you are the king represents your masculine power.										
king_kong	Unknown	To see King Kong in your dream represents an imposing obstacle which is blocking your progress.											
kingfisher	Bird	To see a kingfisher in your dream symbolizes calmness and dignity.											
kiosk	Structure	To see a kiosk in your dream signifies your openness and receptiveness toward some relationship.											
kiss	Action	"To dream of a kiss denotes love, affection, tranquility, harmony, and contentment."											
