help	exploited_by	abandon, turn_against,take_aim_at
support	are_underappreciated_by, are_pushed_too_far_by	lose_faith_in
worship	are_deceived_by, are_disrespected_by, are_unimpressed_with	lose_faith_in
deceive	are_criticized_by,  are_lectured_by	lose_favor_with
disobey	are_chastised_by,  are_scolded_by, are_humiliated_by	lose_favor_with
manipulate	are_uncovered_by	lose_favor_with
find	are_bored_by, are_disgusted_by	lose_interest_in
follow	are_bored_by, are_disrespected_by	lose_interest_in
compete_against	are_bought_off_by	lose_to
fight_against	are_tricked_by	lose_to
underestimate	are_tricked_by, are_manipulated_by	lose_to
are_profiled_by	obtain_sympathy_from	manipulate
charm	are_trusted_by	manipulate
compliment	are_trusted_by, are_favored_by	manipulate
convert	are_worshipped_by, are_trusted_by	manipulate
counsel	are_respected_by, are_trusted_by	manipulate
cross_examine	are_trusted_by	manipulate
curry_favor_with	are_trusted_by, are_favored_by	manipulate
deceive	are_trusted_by	manipulate
enchant	are_worshipped_by, are_obeyed_by, are_trusted_by	manipulate
evaluate_with	are_feared_by	manipulate
flatter	are_favored_by	manipulate
guide	are_trusted_by	manipulate
kiss_up_to	are_favored_by	manipulate
lick_up_to	are_favored_by, are_trusted_by, are_promoted_by	manipulate
lie_to	are_trusted_by	manipulate
mystify	are_worshipped_by	manipulate
observe	are_trusted_by	manipulate
pander_to	are_respected_by	manipulate
praise	are_trusted_by	manipulate
prey_on	are_trusted_by, are_welcomed_by	manipulate
serve	are_trusted_by, are_underestimated_by	manipulate
subjugate	are_feared_by	manipulate
suck_up_to	are_favored_by	manipulate
summon	are_feared_by	manipulate
trick	are_underestimated_by	manipulate
date	are_deflowered_by	marry
enslave	are_seduced_by	marry
fall_in_love_with	are_betrayed_by	dump
feel_sorry_for	are_seduced_by	marry
propose_to	are_favored_by	marry
reject	are_blackmailed_by	marry
sleep_with	are_deflowered_by	marry
observe	are_coached_by, are_impressed_by	mimic
act_for	are_trusted_by, are_underpaid_by	misrepresent
ask_questions_for	are_exploited_by, are_pushed_too_far_by	misrepresent
interpret_for	are_disrespected_by	misrepresent
represent	are_underpaid_by, are_underappreciated_by	misrepresent
speak_for	are_disrespected_by, are_underpaid_by, are_underappreciated_by	misrepresent
translate_for	are_trusted_by	misrepresent
fight_against	are_impressed_by	negotiate_with
struggle_against	are_rebuffed_by	negotiate_with
interview	are_blackmailed_by, are_bought_off_by, are_manipulated_by, are_impressed_by, are_entertained_by, are_intrigued_by	nominate
consult	are_advised_by, are_lectured_by, are_counselled_by	obey
struggle_against	are_underestimated_by	overcome
rise_against	are_mocked_by	overthrow
serve	are_underestimated_by	overthrow
turn_against	are_resisted_by, are_feared_by, are_attacked_by	overthrow
manipulate	profit_from	overwork
kiss_up_to, lick_up_to	are_ignored_by, are_feared_by	pander_to
pamper	are_rewarded_by	pander_to
preach_to	are_disrespected_by, are_underappreciated_by	pander_to
propagandize_for	are_rewarded_by	pander_to
reach_out_to	are_rebuffed_by, are_resisted_by	pander_to
receive	are_flattered_by	pander_to
reward	are_flattered_by	pander_to
rule_over	are_resisted_by	pander_to
satirize	are_bought_off_by	pander_to
seek	are_ignored_by	pander_to
speak_to	are_rebuffed_by	pander_to
undermine	are_blackmailed_by, are_bought_off_by	pander_to
disfigure	are_sued_by	pay_off
steal_from	are_blackmailed_by	pay_off
treat	are_sued_by	pay_off
alienate	are_abandoned_by, are_dumped_by	pine_for
cast_out	are_forgotten_by, are_haunted_by	pine_for
divorce	are_forgotten_by, are_haunted_by	pine_for
let_go_of	are_forgotten_by	pine_for
release	are_forgotten_by	pine_for
are_appointed_by	play_for	are_rewarded_by
campaign_against	are_blackmailed_by, are_bought_off_by	praise
criticize	are_threatened_by, are_blackmailed_by	praise
dislike	are_impressed_by, are_charmed_by	praise
evaluate	are_bought_off_by, are_blackmailed_by	praise
lose_faith_in	are_bought_off_by, are_blackmailed_by	praise
review	are_impressed_by, are_moved_by, are_entertained_by	praise
spread_lies_about	are_forgiven_by	praise
hit	are_arrested_for_hurting	beg_forgiveness_from
worship	are_inspired_by	pray_to
appoint	are_impressed_by, are_flattered_by	profit_from
blackmail	are_feared_by, are_paid_by	profit_from
defraud	are_trusted_by	profit_from
entertain	are_tipped_by	profit_from
lead_astray	are_obeyed_by	profit_from
sacrifice	are_obeyed_by	profit_from
select	are_rewarded_by	profit_from
sell_through	are_trusted_by	profit_from
sell_via	are_trusted_by	profit_from
sign_up	are_obeyed_by	profit_from
snitch_to	are_rewarded_by	profit_from
tip_off	are_rewarded_by	profit_from
let_go_of	are_thanked_by	profit_from
appoint	are_worshipped_by	promote
delegate_to	are_impressed_by	promote
deploy	are_impressed_by	promote
hire	are_impressed_by	promote
hire	are_seduced_by	promote
manage	are_impressed_by	promote
cross_examine	are_deceived_by	prosecute
coach	are_disrespected_by	punish
coerce	are_deceived_by	punish
command	are_disrespected_by, are_disobeyed_by	punish
lose_control_over	are_disrespected_by	punish
take_as_prisoner	are_disrespected_by, are_disobeyed_by	punish
threaten	are_ignored_by	punish
take_aim_at	are_eluded_by, are_tricked_by	pursue
fall_in_love_with	are_abandoned_by	pursue
fall_in_love_with	are_abandoned_by	stalk
evaluate	are_flattered_by, are_feared_by	rank
interview	are_flattered_by, are_feared_by	rank
deploy	are_disappointed_by, are_unimpressed_by	recall
send	are_upstaged_by, are_misrepresented_by	recall
summon	are_obeyed_by	receive
hire	are_cheated_by, are_disrespected_by, are_disobeyed_by, are_unimpressed_by	refuse_to_pay, withold_payment_from
profit_from	are_sued_by	settle_with
rent_from	are_abused_by, are_mistreated_by, are_cheated_by	refuse_to_pay
are_underpaid_by, are_underappreciated_by	steal_from, cheat	are_disrespected_by, are_underappreciated_by
abuse	are_blackmailed_by, are_bought_off_by	release
apprehend	are_moved_by, are_begged_by	release
arrest	are_moved_by, are_begged_by	release
capture	are_bought_off_by	release
catch	are_moved_by	release
experiment_on	are_entertained_by, are_moved_by	release
guard	are_tricked_by	release
take_as_prisoner	are_bought_off_by, are_moved_by	release
borrow_from	are_humiliated_by	repay
defraud	are_sued_by	repay
owe	are_threatened_by	repay
owe_to	are_threatened_by	repay
profit_from	are_moved_by	repay
rob	are_moved_by	repay
steal_from	are_blackmailed_by	repay
steal_from	are_investigated_by, are_pursued_by, are_threatened_by, are_denounced_by	repay
fall_in_love_with	are_rebuffed_by, are_ignored_by, are_humiliated_by, are_spurned_by, are_mocked_by	resent
counsel	are_ignored_by, are_distrusted_by	resent
criticize	are_silenced_by	resent
are_questioned_by	respond_to	are_silenced_by
sweat_for	are_abused_by, are_exploited_by, are_mistreated_by, are_underpaid_by, are_underappreciated_by	resent
sympathize_with	are_disrespected_by, are_cheated_by, are_lectured_by	resent
work_for, cook_for, create_for, design_for	are_cheated_by, are_deceived_by, are_disrespected_by, are_underpaid_by	resent
work_with	are_cheated_by, are_deceived_by, are_disrespected_by	resent
are_appreciated_by	steal_from, cheat	are_beaten_by
worship	are_deceived_by, are_disrespected_by, are_unimpressed_with	resent
attack	are_resisted_by	respect, run_away_from, fear
attack	are_beaten_by, are_defeated_by	respect, surrender_to, cede_power_to, bow_down_to
condescend_to	are_humiliated_by	respect
underestimate	are_defeated_by, are_bitten_by	respect
influence	are_obeyed_by	reward
silence	are_feared_by	reward
cede_power_to	are_tormented_by	rise_against
fear	are_pushed_too_far_by	rise_against
labor_for	are_pushed_too_far_by, are_abused_by	rise_against
obey	are_disgusted_by, are_pushed_too_far_by	rise_against
obey	are_deceived_by, are_disgusted_by, are_exploited_by	rise_against
serve	are_abused_by, are_exploited_by, are_mistreated_by, are_underpaid_by, are_underappreciated_by	rise_against
surrender_to	are_humiliated_by	rise_against
enchant	are_worshipped_by, are_obeyed_by, are_trusted_by	rule
subjugate	are_feared_by, are_obeyed_by, are_worshipped_by	rule_over
vote_for	are_disillusioned_by, are_unimpressed_by	run_against
are_hired_by, work_for, accompany	are_exploited_by, are_disrespected_by, are_pushed_too_far_by	run_away_from
visit	are_disgusted_by, are_shocked_by, are_threatened_by	run_away_from
dump	are_insulted_by, are_attacked_by	run_away_from
fail_to_deliver_for	are_beaten_by, are_threatened_by, are_sued_by	run_away_from
govern	are_toppled_by	run_away_from
love	are_overwhelmed_by	run_away_from
molest	are_bitten_by	run_away_from
pick_on	are_lectured_by	run_away_from
stalk	are_threatened_by	run_away_from
torment	are_bitten_by	run_away_from
visit	are_bored_by	run_away_from
report_to	are_abused_by	run_away_from
handle	are_disappointed_by	sacrifice
manipulate	are_trusted_by	sacrifice
save	are_disrespected_by	sacrifice
kill	are_cursed_by, are_haunted_by	sacrifice_to
worship	are_ignored_by	sacrifice_to
let_go_of	are_forgotten_by, are_haunted_by	search_for
spy_on	are_impressed_by, are_intrigued_by	seduce
listen_to	are_inspired_by	seek_advice_from
assassinate	are_haunted_by	seek_forgiveness_from
betray	are_attacked_by, are_cursed_by	seek_forgiveness_from
blow_up	are_haunted_by	seek_forgiveness_from
cheat_on	are_stalked_by, are_caught_by	seek_forgiveness_from
condescend_to	are_insulted_by, are_attacked_by	seek_forgiveness_from
fight_against	are_beaten_by, are_defeated_by	seek_forgiveness_from, cede_power_to, bow_down_to
hate	are_moved_by	seek_forgiveness_from
kill	are_cursed_by, are_haunted_by	seek_forgiveness_from
persecute	are_moved_by	seek_forgiveness_from
steal_from	are_interrogated_by, are_lectured_by, are_reported_by	seek_forgiveness_from
steal_from	are_uncovered_by	seek_forgiveness_from
surrender_to	are_taunted_by, are_mocked_by, are_criticized_by	seek_forgiveness_from
profit_from	are_trusted_by	condescend_to, take_advantage_of
save	are_trusted_by	exploit
appoint	are_flattered_by	dispatch
assault	are_sued_by	settle_with
attack	are_beaten_by, are_defeated_by	settle_with
beat_up	are_sued_by	settle_with
beg_forgiveness_from	are_pitied_by	settle_with
disagree_with	are_persuaded_by	settle_with
hurt	are_sued_by	settle_with
joke_about	are_threatened_by	settle_with
negotiate_with	are_respected_by, are_impressed_by	settle_with
overcome	are_moved_by	settle_with
spread_lies_about	are_sued_by	settle_with
stand_up_to	are_respected_by	settle_with
read_the_works_of	are_impressed_by, admire, are_moved_by	worship
read_the_works_of	are_impressed_by, admire, are_moved_by	stalk
sue	are_moved_by,  are_seduced_by	settle_with
testify_against	are_defeated_by	settle_with
turn_against	are_bought_off_by	settle_with
take_aim_at	are_bought_off_by	show_loyalty_to
appeal_to	are_saved_by	show_loyalty_to
are_moved_by	sympathize_with, pity, identify_with	show_loyalty_to
labor_for	are_rewarded_by, are_respected_by	show_loyalty_to
marry	are_loved_by	show_loyalty_to
sign_with	are_respected_by, are_rewarded_by	show_loyalty_to
wait_on	are_rewarded_by, are_respected_by	show_loyalty_to
work_for	are_rewarded_by, are_respected_by, are_shielded_by	show_loyalty_to
worship	are_rewarded_by	show_loyalty_to
identify	are_impressed_by	sign_up
impress	are_flattered_by, are_seduced_by	sign_with
confide_in	are_betrayed_by	silence
dismiss	are_chastised_by,  are_scolded_by, are_denounced_by	silence
exploit	are_sued_by, are_disgusted_by	silence
humiliate	are_attacked_by, are_denounced_by	silence
indoctrinate	are_misrepresented_by	silence
inspire	are_upstaged_by	silence
interact_with	are_insulted_by, are_deceived_by, are_disrespected_by	silence
repay	are_lectured_by	silence
sing_with	are_upstaged_by	silence
steal_from	are_reported_by	silence
play_with	are_impressed_by, are_entertained_by	sing_with
travel_with	are_impressed_by, are_entertained_by	sing_with
assist	are_seduced_by	sleep_with
attract	are_worshipped_by	sleep_with
date	are_impressed_by, are_charmed_by	sleep_with
feel_sorry_for	are_seduced_by	sleep_with
flirt_with	are_kissed_by	sleep_with
guard	are_seduced_by, are_inspired_by	sleep_with
host	are_seduced_by	sleep_with
kidnap	are_seduced_by	sleep_with
massage	are_seduced_by	sleep_with
prey_on	are_rebuffed_by, are_resisted_by	snatch
distrust	are_bought_off_by	share_stories_with
hate	are_bought_off_by	show_loyalty_to
campaign_for	are_fired_by	spread_lies_about
descend_from	are_haunted_by	spread_lies_about
dump	are_cursed_by	spread_lies_about
follow	are_deceived_by, are_disrespected_by, are_unimpressed_with	spread_lies_about
kill	are_haunted_by	spread_lies_about
lose_favor_with	are_ignored_by, are_rebuffed_by, are_spurned_by	spread_lies_about
misrepresent	are_trusted_by	spread_lies_about
resent	are_criticized_by	spread_lies_about
run_against	are_heckled_by, are_insulted_by, are_mocked_by	spread_lies_about
appoint	are_unimpressed_by, are_distrusted_by, are_concerned_about	spy_on
campaign_for	are_fired_by, are_deceived_by	spy_on
commit_to	are_concerned_about	spy_on
fall_in_love_with	are_concerned_about	spy_on
hire	are_concerned_about	spy_on
kiss_up_to	are_trusted_by	spy_on
learn_with	are_trusted_by	spy_on
lick_up_to	are_favored_by, are_trusted_by, are_promoted_by	spy_on
look_after	are_concerned_about	spy_on
monitor, grow_suspicious_of	are_disgusted_by, are_shocked_by	spy_on
rebel_against	are_suppressed_by	spy_on
show_loyalty_to	are_concerned_about	spy_on
study	are_trusted_by, are_welcomed_by	spy_on
watch_over	are_unimpressed_by	spy_on
admire	are_encouraged_by	stalk
commit_to	are_rejected_by, are_rebuffed_by, are_ignored_by	stalk
pine_for	are_ignored_by	stalk
are_bullied_by	are_hardened_by, are_pushed_too_far_by	stand_up_to
escape_from	are_pursued_by	stand_up_to
fear	are_mocked_by	stand_up_to
fear	are_abused_by	stand_up_to
fear	are_unimpressed_by	stand_up_to
run_away_from	are_pursued_by	stand_up_to
breastfeed	are_bitten_by	starve
care_for	are_deceived_by	starve
attend_to	are_underpaid_by	steal_from
buy_from	are_exploited_by, are_cheated_by	steal_from
cater_to	are_underpaid_by	steal_from
charm	are_trusted_by	steal_from
cook_for	are_underpaid_by, are_mistreated_by	steal_from
farm_for	are_cheated_by	steal_from
fool	are_trusted_by	steal_from
impersonate	are_mistaken_for	steal_from
labor_for	are_underpaid_by,  are_disrespected_by	steal_from
lease_from	are_deceived_by	steal_from
manipulate	are_trusted_by	steal_from
marry	are_worshipped_by	steal_from
mimic	are_mistaken_for	steal_from
obey	are_cheated_by, are_underpaid_by	steal_from
pay	are_cheated_by	steal_from
work_for	are_disrespected_by, are_underappreciated_by, are_underpaid_by	steal_from
serve	are_trusted_by, are_underappreciated_by, are_underpaid_by	steal_from, cheat
show_loyalty_to	are_underpaid_by, are_ignored_by, are_underappreciated_by, are_disrespected_by	steal_from, cheat
sign_up	are_trusted_by	steal_from, cheat
supply	are_underpaid_by	steal_from, cheat
trick	are_underestimated_by	steal_from, cheat
work_for	are_underappreciated_by, are_underpaid_by	steal_from, cheat
work_with	are_trusted_by, are_corrupted_by	steal_from
observe	are_inspired_by, are_intrigued_by	study
impress	are_feared_by	subjugate
lead	are_feared_by	subjugate
rule	are_resisted_by	subjugate
rule_over	are_resisted_by	subjugate
flirt_with	are_ignored_by	suck_up_to
work_for	are_ignored_by, are_distrusted_by	suck_up_to
work_for	are_distrusted_by, are_disrespected_by	suck_up_to
buy_from	are_exploited_by, are_cheated_by	sue
consult_with	are_deceived_by	sue
criticize	are_threatened_by	sue
export_to	are_cheated_by	sue
fund	are_disillusioned_by, are_exploited_by, are_deceived_by, are_defrauded_by	sue, refuse_to_pay, withhold_payment_from
guarantee	are_exploited_by, are_cheated_by	sue
insult	are_sued_by	countersue
countersue	are_defeated_by	settle_with
insult	are_silenced_by	sue, resent
order_from	are_cheated_by	sue, refuse_to_pay, withhold_payment_from
sell_through	are_cheated_by	sue
sell_to	are_cheated_by, are_underpaid_by	sue
sign_with	are_exploited_by, are_cheated_by, are_underpaid_by	sue
trust	are_exploited_by, are_cheated_by	sue
attract	are_bitten_by	surrender_to
summon	are_rebuffed_by, are_ignored_by	track_down
send	are_misrepresented_by	summon
resemble	are_mistaken_for	supplant
upstage	are_attacked_by	supplant
surrender_to	are_respected_by	support
sympathize_with	are_inspired_by	support
argue_with	are_persuaded_by	surrender_to
attack	are_defeated_by, are_beaten_by, are_humiliated_by, are_attacked_by, are_savaged_by	surrender_to
break_free_of	are_blackmailed_by, are_threatened_by	surrender_to
break_with	are_blackmailed_by	surrender_to
campaign_against	are_impressed_by	surrender_to
elude	are_lured_by	surrender_to
sue	are_seduced_by	surrender_to
underestimate	are_defeated_by	surrender_to
attack	are_moved_by	sympathize_with
hurt	are_forgiven_by	sympathize_with
whip	are_begged_by	sympathize_with
learn_from, study_under	are_trusted_by	take_advantage_of
serve	are_trusted_by	take_advantage_of
wait_on	are_trusted_by	take_advantage_of
work_for	are_trusted_by, are_underestimated_by	take_advantage_of
coerce	are_resisted_by	take_as_prisoner
take_aim_at	are_bought_off_by	take_up_with
let_in	are_seduced_by, are_flattered_by	take_up_with
seduce	are_entertained_by	take_up_with
confer_with	are_concerned_about	diagnose
attend	are_disgusted_by, are_shocked_by, are_disfigured_by	testify_against
campaign_against	are_sued_by	testify_against
commit_to	are_betrayed_by	testify_against
conspire_with	are_corrupted_by, are_cheated_by	testify_against
destroy	are_arrested_for_hurting	testify_against
dismiss	are_sued_by	testify_against
fire	are_sued_by	testify_against
inform	are_misrepresented_by	testify_against
kill	are_haunted_by	exorcise
kill_for	are_lectured_by, are_disrespected_by	testify_against
lead_astray	are_cursed_by	testify_against
listen_to	are_deceived_by	testify_against
misrepresent	are_sued_by	testify_against
monitor	are_disgusted_by, are_shocked_by	testify_against
popularize	are_disgusted_by	testify_against
propagandize_for	are_disgusted_by	testify_against
prosecute	are_threatened_by	testify_against
work_with	are_disgusted_by, are_shocked_by	snitch_on
snitch_on	are_feared_by, are_despised_by	testify_against
testify_for	are_disgusted_by	testify_against
topple	are_arrested_for_hurting	testify_against
torture	are_informed_by	testify_against
watch_over	are_disgusted_by, are_shocked_by	testify_against
confer_with	are_coached_by	testify_for
snitch_to	are_rewarded_by	testify_for
testify_against	are_bought_off_by	testify_for
consult_with	are_bored_by, are_unimpressed_by	refuse_to_pay
censure	are_denounced_by	threaten
interrogate	are_deceived_by	threaten
interview	are_deceived_by	threaten
threaten_with	are_disrespected_by	threaten
trust	are_exploited_by, are_cheated_by	threaten
select	are_assisted_by	tip
talk_to	are_bought_off_by	tip_off
interrogate	are_resisted_by, are_ignored_by, are_disrespected_by	torture
hunt	are_eluded_by	track_down
pursue	are_eluded_by	track_down
search_for	are_eluded_by	track_down
share_stories_with	are_bored_by	turn_against
lend_to	are_feared_by	trust
believe_in	are_bored_by, are_lectured_by	tune_out
listen_to	are_bored_by, are_lectured_by	tune_out
lose_interest_in	are_insulted_by, are_disrespected_by, are_chastised_by	tune_out
pray_with	are_lectured_by, are_bored_by	tune_out
seek_advice_from	are_lectured_by, are_bored_by	tune_out
accompany	are_upstaged_by, are_bored_by	turn_against
answer_to	are_pushed_too_far_by, are_disrespected_by	turn_against
are_deceived_by	grow_suspicious_of	turn_against
carry_for	are_pushed_too_far_by, are_underpaid_by	turn_against
champion	are_disrespected_by, are_insulted_by, are_mocked_by	turn_against
conspire_with	are_betrayed_by, are_cheated_by	turn_against
disobey	are_excommunicated_by	turn_against
disobey	are_defrocked_by	turn_against
elect	are_disappointed_by	turn_against
kill_for	are_disgusted_by, are_pushed_too_far_by	turn_against
obey	are_deceived_by, are_disgusted_by, are_exploited_by	turn_against
obey	are_deceived_by, are_exploited_by	turn_against
pamper	are_underappreciated_by	turn_against
please	are_underappreciated_by	turn_against
report_to	are_underpaid_by, are_underappreciated_by	turn_against
sacrifice_to	are_ignored_by	turn_against
speak_to	are_deceived_by	turn_against
support	are_disgusted_by, are_pushed_too_far_by	turn_against
work_under	are_abused_by, are_exploited_by	turn_against
work_with	are_pushed_too_far_by	turn_against
attack	are_deceived_by, are_tricked_by	underestimate
campaign_against	are_deceived_by, are_tricked_by	underestimate
challenge	are_unimpressed_by	underestimate
charm	are_trusted_by	underestimate
collude_with	are_unimpressed_by	underestimate
compete_against	are_unimpressed_by, are_bored_by	underestimate
condescend_to	are_despised_by	underestimate
fight	are_bored_by, are_deceived_by, are_tricked_by, are_unimpressed_by	underestimate
fight_against	are_bored_by, are_deceived_by, are_tricked_by, are_unimpressed_by	underestimate
govern	are_bored_by	underestimate
harass	are_unimpressed_by	underestimate
impress	are_feared_by	underestimate
manipulate	are_trusted_by	underestimate
oppress	are_bored_by, are_unimpressed_by	underestimate
overshadow	are_unimpressed_by	underestimate
perform_with	are_bored_by, are_unimpressed_by	underestimate
punish	are_feared_by, are_despised_by	underestimate
rebel_against	are_bored_by, are_unimpressed_by	underestimate
repress	are_deceived_by, are_tricked_by, are_unimpressed_with	underestimate
rise_against	are_deceived_by, are_tricked_by	underestimate
rule_over	are_bored_by, are_unimpressed_by	underestimate
struggle_against	are_tricked_by, are_deceived_by	underestimate
subdue	are_resisted_by	underestimate
suppress	are_resisted_by	underestimate
torment	are_despised_by	underestimate
tower_over	are_unimpressed_by	underestimate
resemble	are_mistaken_for	undermine
serve	are_disillusioned_by	undermine
sing_with	are_upstaged_by, are_underpaid_by, are_underappreciated_by	undermine
support	are_disgusted_by, are_shocked_by	undermine
copy	are_sued_by	upstage
imitate	are_inspired_by	upstage
impersonate	are_sued_by	upstage
impress	are_promoted_by	upstage
pose_for	are_lectured_by, are_mocked_by	upstage
resemble	are_mistaken_for	upstage
work_for	are_unimpressed_by	upstage
vote_for	are_disillusioned_by, are_unimpressed_by	vote_against
vote_against	are_blackmailed_by, are_bought_off_by	vote_for
appoint	are_unimpressed_by, are_distrusted_by, are_concerned_about	watch_over
fall_in_love_with	are_concerned_about	watch_over
hire	are_concerned_about	watch_over
let_in	are_greeted_by, are_complimented_by	welcome
visit	are_impressed_by	worship
look_after	are_frustrated_by	are_pushed_too_far_by
are_pursued_by	are_underestimated_by	elude
elude	underestimate	are_tracked_by
are_tracked_by	trick, are_underestimated_by	lead_astray
overthrow	forgive	underestimate
overthrow	are_influenced_by	are_inspired_by
turn_against	are_threatened_by, are_intimidated_by	are_bought_off_by
settle_with	condescend_to	are_insulted_by
kill	pine_for, *are_missed_by	are_haunted_by
turn_against	underestimate	are_resisted_by
are_resisted_by	laugh_at, mock, attack	overthrow
take_aim_at	are_threatened_by, are_intimidated_by	are_bought_off_by
take_up_with	confide_in, confess_to	are_betrayed_by
show_loyalty_to	are_overworked_by	are_underappreciated_by
take_aim_at	are_tricked_by	are_eluded_by
take_up_with	confide_in, confess_to	are_disrespected_by
take_aim_at	sympathize_with	are_tricked_by
take_up_with	confide_in, confess_to	are_manipulated_by
take_up_with	are_unimpressed_by, lose_interest_in	are_bored_by
look_after	abuse, molest	are_bitten_by
hide_from	write_to, are_chased_by	are_found_by
elude	pine_for, are_missed_by	are_lured_by
tend	indulge, spoil, pander_to	are_pushed_too_far_by
testify_against	negotiate_with	are_bought_off_by
testify_against	fear, are_intimidated_by	are_defeated_by
care_for	resent, grow_suspicious_of	are_pushed_too_far_by
tend	indulge, spoil, pander_to	are_disgusted_by
care_for	resent, grow_suspicious_of	are_disgusted_by
tend	indulge, spoil, pander_to	are_shocked_by
care_for	are_concerned_about	are_shocked_by
capture	sympathize_with	are_bitten_by
are_dumped_by	pine_for, cry_for, *are_missed_by	look_for
abuse	are_moved_by	pity
abuse	*appeal_to	sympathize_with
abuse	are_photographed_by	are_blackmailed_by
release	*are_intrigued_by	are_stalked_by
abuse	*appeal_to	are_moved_by
fall_in_love_with	*cheat_on	are_driven_mad_by
fall_in_love_with	confess_to	are_betrayed_by
fall_in_love_with	*laugh_at	are_spurned_by
fall_in_love_with	fail_to_impress	are_ignored_by
abuse	owe_to	are_bought_off_by
sacrifice_to	fail_to_impress	are_ignored_by
seek_forgiveness_from	lie_to	are_rebuffed_by
are_trusted_by	take_advantage_of	abuse
fall_in_love_with	fail_to_impress	are_mocked_by
are_respected_by	take_advantage_of	abuse
pine_for	*run_away_from, *hide_from	are_eluded_by
look_for	threaten, intimidate	are_feared_by
are_trusted_by	take_advantage_of	indoctrinate
indoctrinate	*disagree_with, *argue_with	are_misrepresented_by
are_respected_by	take_advantage_of	indoctrinate
are_trusted_by	take_advantage_of	lead_astray
look_after	*resent, *take_advantage_of	are_upstaged_by
look_after	are_frustrated_by	are_driven_mad_by
lead	are_disobeyed_by, *disobey	are_disrespected_by
are_disgusted_by	laugh_at, mock, taunt, spread_lies_about	beg_forgiveness_from
fall_in_love_with	disgust, fail_to_impress, *are_disgusted_by, *are_sickened_by	are_abandoned_by
fall_in_love_with	fail_to_impress	are_rebuffed_by
fall_in_love_with	pander_to, spoil, *are_spoiled_by, indulge	are_disrespected_by
fall_in_love_with	*fail_to_impress, lose_interest_in	are_bored_with
fall_in_love_with	are_underappreciated_by	are_deceived_by
fall_in_love_with	*spread_lies_about	are_humiliated_by
mock	seek_forgiveness_from	are_forgiven_by
admire	*are_unimpressed_with	are_spurned_by
stalk	lose_interest_in	are_bored_by
stalk	*hide_from	are_eluded_by
admire	*laugh_at, *joke_about	are_humiliated_by
admire	fail_to_impress	are_disrespected_by
obey	are_overworked_by, *take_advantage_of, are_underpaid_by, are_underappreciated_by	are_enslaved_by
bow_down_to	are_rewarded_by	are_corrupted_by
cede_power_to	are_rewarded_by	are_corrupted_by
trust	are_photographed_by, *spy_on	are_blackmailed_by
conspire_with	confide_in, misrepresent	are_betrayed_by
are_enslaved_by	stand_up_to	break_free_of
break_free_of	*pine_for, are_missed_by	are_pursued_by
condescend_to	*tune_out	are_ignored_by
beg_forgiveness_from	*resent, *hate	are_spurned_by
beg_forgiveness_from	*resent, *hate	are_rebuffed_by
beg_forgiveness_from	*resent, are_resented_by	are_ignored_by
love	*taunt, *mock, *torment, *joke_about, *laugh_at	are_driven_mad_by
spread_lies_about	*appeal_to, are_entertained_by	are_forgiven_by
are_energized_by	*are_pushed_too_far_by	alienate
play_for	*are_disappointed_by, disappoint, fail_to_impress	are_heckled_by
are_despised_by	threaten, intimidate	underestimate
cede_power_to	brief_against	are_tormented_by
play_for	*are_disappointed_by, disappoint, fail_to_impress	are_booed_by
travel_with	lose_interest_in, *confide_in, *share_stories_with	are_bored_by
write_about	misrepresent	are_contradicted_by
argue_with	listen_to	are_persuaded_by
argue_with	threaten, intimidate	are_censured_by
argue_with	*stand_up_to	are_impressed_by
share_stories_with	lose_interest_in	are_bored_by
confide_in	write_about	are_betrayed_by
are_trusted_by	take_advantage_of	spread_lies_about
praise	*tune_out, are_distrusted_by	are_rebuffed_by
are_respected_by	disrespect, dislike, laugh_at	spread_lies_about
are_trusted_by	take_advantage_of	manipulate
interview	*are_pushed_too_far_by, interrogate, disrespect, *are_probed_by	are_insulted_by
interview	*are_pushed_too_far_by, interrogate, disrespect, *are_probed_by	are_attacked_by
break_with	*spy_on	are_blackmailed_by
are_accompanied_by	are_bored_by, are_frustrated_by	argue_with
are_pitied_by	resent, grow_suspicious_of	rebuff
are_pitied_by	resent, dislike	condescend_to
condescend_to	*stand_up_to	are_mocked_by
cry_for	*lose_interest_in	are_ignored_by
are_accompanied_by	are_bored_by, are_frustrated_by	disagree_with
are_accompanied_by	*resent, *disrespect	fail_to_deliver_for
complain_to	are_ignored_by, *tune_out	are_bored_by
are_assisted_by	are_unimpressed_with	condescend_to
are_assisted_by	*are_underpaid_by, *are_pushed_too_far_by	overwork
are_escorted_by	disagree_with	argue_with
are_followed_by	condescend_to, lead_astray, take_advantage_of, cause_trouble_for	disappoint
are_followed_by	mock, taunt, laugh_at, take_advantage_of	disillusion
are_followed_by	are_questioned_by	condescend_to
sleep_with	lose_interest_in, *fall_in_love_with	are_abandoned_by
are_shielded_by	*are_underappreciated_by	fail_to_reward
are_supported_by	*are_underappreciated_by	fail_to_reward
kiss_up_to	disgust, fail_to_impress, *are_disgusted_by, *are_sickened_by	are_rebuffed_by
are_abducted_by	appeal_to, flirt_with, *seduce	obtain_sympathy_from
are_abducted_by	*lose_control_over	escape_from
are_abducted_by	*lose_control_over	break_free_of
lick_up_to	disgust, fail_to_impress, *are_disgusted_by, *are_sickened_by	are_rebuffed_by
