Final Action	Number of Stories	Closing Action
against/gods	15	"The best gods are forgiving gods and the worst are false gods. Which is B most like?, The best gods are forgiving gods and the worst are foreign gods. Which is B most like?, The best gods are forgiving gods and the worst are phoney gods. Which is B most like?, The best gods are forgiving gods and the worst are self-appointed gods. Which is B most like?, The best gods are forgiving gods and the worst are Hollywood celebrities. Which is B most like?, The best gods are popular gods and the worst are false gods. Which is B most like?, The best gods are popular gods and the worst are foreign gods. Which is B most like?, The best gods are popular gods and the worst are phoney gods. Which is B most like?, The best gods are popular gods and the worst are self-appointed gods. Which is B most like?, The best gods are popular gods and the worst are Hollywood celebrities. Which is B most like?, The best gods are loving gods and the worst are false gods. Which is B most like?, The best gods are loving gods and the worst are foreign gods. Which is B most like?, The best gods are loving gods and the worst are phoney gods. Which is B most like?, The best gods are loving gods and the worst are self-appointed gods. Which is B most like?, The best gods are loving gods and the worst are Hollywood celebrities. Which is B most like?"	
for/pimps	3	"The best pimps are profit-sharing pimps and the worst are thy creeper brother-in-law. Which is B most like?, The best pimps are nonviolent pimps and the worst are thy creeper brother-in-law. Which is B most like?, The best pimps are unionized pimps and the worst are thy creeper brother-in-law. Which is B most like?"	
with/customers	4	"The best customers are customers that tip big and the worst are whiny customers that don't tip. Which is B most like?, The best customers are complacent customers and the worst are whiny customers that don't tip. Which is B most like?, The best customers are uncomplaining customers and the worst are whiny customers that don't tip. Which is B most like?, The best customers are upscale clients and the worst are whiny customers that don't tip. Which is B most like?"	
with/clients	6	"The best clients are rich clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are rich clients and the worst are pro-bono clients with no money. Which is B most like?, The best clients are generous clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are generous clients and the worst are pro-bono clients with no money. Which is B most like?, The best clients are easily-pleased clients and the worst are tight-fisted complainers. Which is B most like?, The best clients are easily-pleased clients and the worst are pro-bono clients with no money. Which is B most like?"	
for/dancers	4	"The best dancers are talented dancers and the worst are lascivious dancers. Which is B most like?, The best dancers are talented dancers and the worst are hip-swinging temptresses. Which is B most like?, The best dancers are disciplined dancers and the worst are lascivious dancers. Which is B most like?, The best dancers are disciplined dancers and the worst are hip-swinging temptresses. Which is B most like?"	
for/patriarchs	2	"The best patriarchs are patriarchs with gravitas and the worst are the patriarchs of rival churches. Which is B most like?, The best patriarchs are patriarchs with gravitas and the worst are patriarchs that abuse church funds. Which is B most like?"	
with/acolytes	3	"The best acolytes are devoted acolytes and the worst are acolytes with minds of their own. Which is B most like?, The best acolytes are god-fearing acolytes and the worst are acolytes with minds of their own. Which is B most like?, The best acolytes are acolytes from wealthy families and the worst are acolytes with minds of their own. Which is B most like?"	
against/targets	4	"The best targets are unpopular targets and the worst are well-connected people with expensive lawyers. Which is B most like?, The best targets are unpopular targets and the worst are much-loved celebrities. Which is B most like?, The best targets are foreign-sounding targets and the worst are well-connected people with expensive lawyers. Which is B most like?, The best targets are foreign-sounding targets and the worst are much-loved celebrities. Which is B most like?"	
for/high_priests	1	The best high priests are god-fearing high priests and the worst are the high priests of false gods. Which is B most like?	
for/bishops	1	The best bishops are undemanding bishops and the worst are bishops with a fondness for church wine. Which is B most like?	
on/targets	4	"The best targets are unpopular targets and the worst are well-connected people with expensive lawyers. Which is B most like?, The best targets are unpopular targets and the worst are much-loved celebrities. Which is B most like?, The best targets are foreign-sounding targets and the worst are well-connected people with expensive lawyers. Which is B most like?, The best targets are foreign-sounding targets and the worst are much-loved celebrities. Which is B most like?"	
into/targets	4	"The best targets are unpopular targets and the worst are well-connected people with expensive lawyers. Which is B most like?, The best targets are unpopular targets and the worst are much-loved celebrities. Which is B most like?, The best targets are foreign-sounding targets and the worst are well-connected people with expensive lawyers. Which is B most like?, The best targets are foreign-sounding targets and the worst are much-loved celebrities. Which is B most like?"	
for/employers	6	"The best employers are employers with healthcare and the worst are employers that support Obamacare. Which is B most like?, The best employers are employers with healthcare and the worst are employers that support Planned Parenthood. Which is B most like?, The best employers are generous employers and the worst are employers that support Obamacare. Which is B most like?, The best employers are generous employers and the worst are employers that support Planned Parenthood. Which is B most like?, The best employers are employers with generous 401k plans and the worst are employers that support Obamacare. Which is B most like?, The best employers are employers with generous 401k plans and the worst are employers that support Planned Parenthood. Which is B most like?"	
for/priests	4	"The best priests are god-fearing priests and the worst are the servants of false gods. Which is B most like?, The best priests are god-fearing priests and the worst are married priests. Which is B most like?, The best priests are celibate priests and the worst are the servants of false gods. Which is B most like?, The best priests are celibate priests and the worst are married priests. Which is B most like?"	
of/singers	12	"The best singers are sweet-voiced singers and the worst are the singers of sad songs. Which is B most like?, The best singers are sweet-voiced singers and the worst are the singers of blasphemous songs. Which is B most like?, The best singers are silver-tongued singers and the worst are the singers of sad songs. Which is B most like?, The best singers are silver-tongued singers and the worst are the singers of blasphemous songs. Which is B most like?, The best singers are golden-throated singers and the worst are the singers of sad songs. Which is B most like?, The best singers are golden-throated singers and the worst are the singers of blasphemous songs. Which is B most like?, The best singers are singers than can sing and the worst are the singers of sad songs. Which is B most like?, The best singers are singers than can sing and the worst are the singers of blasphemous songs. Which is B most like?, The best singers are telegenic singers and the worst are the singers of sad songs. Which is B most like?, The best singers are telegenic singers and the worst are the singers of blasphemous songs. Which is B most like?, The best singers are pitch-perfect singers and the worst are the singers of sad songs. Which is B most like?, The best singers are pitch-perfect singers and the worst are the singers of blasphemous songs. Which is B most like?"	
for/patrons	2	"The best patrons are patrons that tip big and the worst are thy low-tipping neighbours. Which is B most like?, The best patrons are patrons with 'class' and the worst are thy low-tipping neighbours. Which is B most like?"	
with/coworkers	2	"The best coworkers are coworkers that pull their weight and the worst are thy neighbours that work on the sabbath. Which is B most like?, The best coworkers are hardworking coworkers and the worst are thy neighbours that work on the sabbath. Which is B most like?"	
of/sympathizers	4	"The best sympathizers are well-wishing sympathizers and the worst are thine easily-led neighbours. Which is B most like?, The best sympathizers are well-wishing sympathizers and the worst are followers with more heart than brain. Which is B most like?, The best sympathizers are understanding sympathizers and the worst are thine easily-led neighbours. Which is B most like?, The best sympathizers are understanding sympathizers and the worst are followers with more heart than brain. Which is B most like?"	
of/dancers	4	"The best dancers are talented dancers and the worst are lascivious dancers. Which is B most like?, The best dancers are talented dancers and the worst are hip-swinging temptresses. Which is B most like?, The best dancers are disciplined dancers and the worst are lascivious dancers. Which is B most like?, The best dancers are disciplined dancers and the worst are hip-swinging temptresses. Which is B most like?"	
with/choreographers	2	"The best choreographers are choreographers that can dance and the worst are the choreographers of sin. Which is B most like?, The best choreographers are skinny choreographers and the worst are the choreographers of sin. Which is B most like?"	
with/discussants	2	"The best discussants are well-informed discussants and the worst are strident atheists. Which is B most like?, The best discussants are opinionated discussants and the worst are strident atheists. Which is B most like?"	
for/professors	6	"The best professors are professors in tweeds and the worst are the teachers of atheist science. Which is B most like?, The best professors are professors in tweeds and the worst are evolution-spouting scientists. Which is B most like?, The best professors are professors from good schools and the worst are the teachers of atheist science. Which is B most like?, The best professors are professors from good schools and the worst are evolution-spouting scientists. Which is B most like?, The best professors are well-published professors and the worst are the teachers of atheist science. Which is B most like?, The best professors are well-published professors and the worst are evolution-spouting scientists. Which is B most like?"	
for/deans	3	"The best deans are fair-minded deans and the worst are deans that disallow class prayer. Which is B most like?, The best deans are meritocratic deans and the worst are deans that disallow class prayer. Which is B most like?, The best deans are academically-minded deans and the worst are deans that disallow class prayer. Which is B most like?"	
for/principals	2	"The best principals are tough-but-fair principals and the worst are principals that frown on religious expression. Which is B most like?, The best principals are stern-but-kind principals and the worst are principals that frown on religious expression. Which is B most like?"	
of/students	3	"The best students are well-read students and the worst are thy students that study on the sabbath. Which is B most like?, The best students are open-minded students and the worst are thy students that study on the sabbath. Which is B most like?, The best students are eager young students and the worst are thy students that study on the sabbath. Which is B most like?"	
with/teaching_assistants	2	"The best teaching assistants are earnest teaching assistants and the worst are holier-than-thou teaching assistants. Which is B most like?, The best teaching assistants are knowledgeable teaching assistants and the worst are holier-than-thou teaching assistants. Which is B most like?"	
with/fellow_travelers	3	"The best fellow travelers are amiable fellow travelers and the worst are fellow traveler on the road to hell. Which is B most like?, The best fellow travelers are well-traveled companions and the worst are fellow traveler on the road to hell. Which is B most like?, The best fellow travelers are entertaining raconteurs and the worst are fellow traveler on the road to hell. Which is B most like?"	
for/tyrants	3	"The best tyrants are benign tyrants and the worst are irreligious tyrants. Which is B most like?, The best tyrants are 'old-school' tyrants and the worst are irreligious tyrants. Which is B most like?, The best tyrants are well-meaning tyrants and the worst are irreligious tyrants. Which is B most like?"	
with/minions	4	"The best minions are devoted minions and the worst are the servants of evil. Which is B most like?, The best minions are obedient minions and the worst are the servants of evil. Which is B most like?, The best minions are unambitious minions and the worst are the servants of evil. Which is B most like?, The best minions are trusty minions and the worst are the servants of evil. Which is B most like?"	
with/lab_assistants	6	"The best lab assistants are meticulous lab assistants and the worst are hunchbacked lab assistants. Which is B most like?, The best lab assistants are meticulous lab assistants and the worst are lab assistants named 'Igor'. Which is B most like?, The best lab assistants are unquestioning lab assistants and the worst are hunchbacked lab assistants. Which is B most like?, The best lab assistants are unquestioning lab assistants and the worst are lab assistants named 'Igor'. Which is B most like?, The best lab assistants are obedient lab assistants and the worst are hunchbacked lab assistants. Which is B most like?, The best lab assistants are obedient lab assistants and the worst are lab assistants named 'Igor'. Which is B most like?"	
on/test_subjects	6	"The best test subjects are willing guinea pigs and the worst are thy neighbour's pets. Which is B most like?, The best test subjects are unwitting dupes and the worst are thy neighbour's pets. Which is B most like?, The best test subjects are homeless people and the worst are thy neighbour's pets. Which is B most like?, The best test subjects are people who won't be missed and the worst are thy neighbour's pets. Which is B most like?, The best test subjects are prisoners of war and the worst are thy neighbour's pets. Which is B most like?, The best test subjects are dumb animals and the worst are thy neighbour's pets. Which is B most like?"	
of/dupes	63	"The best dupes are deserving victims and the worst are thy gullible neighbours. Which is B most like?, The best dupes are deserving victims and the worst are thy dopey neighbours. Which is B most like?, The best dupes are deserving victims and the worst are thy neighbors with more money than sense. Which is B most like?, The best dupes are deserving victims and the worst are thy flashy neighbours. Which is B most like?, The best dupes are deserving victims and the worst are thy senile neighbours. Which is B most like?, The best dupes are deserving victims and the worst are thy redneck neighbours. Which is B most like?, The best dupes are deserving victims and the worst are mobbed-up neighbours. Which is B most like?, The best dupes are deserving victims and the worst are fools with mob connections. Which is B most like?, The best dupes are deserving victims and the worst are the sons of powerful men. Which is B most like?, The best dupes are victims with deep-pockets and the worst are thy gullible neighbours. Which is B most like?, The best dupes are victims with deep-pockets and the worst are thy dopey neighbours. Which is B most like?, The best dupes are victims with deep-pockets and the worst are thy neighbors with more money than sense. Which is B most like?, The best dupes are victims with deep-pockets and the worst are thy flashy neighbours. Which is B most like?, The best dupes are victims with deep-pockets and the worst are thy senile neighbours. Which is B most like?, The best dupes are victims with deep-pockets and the worst are thy redneck neighbours. Which is B most like?, The best dupes are victims with deep-pockets and the worst are mobbed-up neighbours. Which is B most like?, The best dupes are victims with deep-pockets and the worst are fools with mob connections. Which is B most like?, The best dupes are victims with deep-pockets and the worst are the sons of powerful men. Which is B most like?, The best dupes are crass tourists and the worst are thy gullible neighbours. Which is B most like?, The best dupes are crass tourists and the worst are thy dopey neighbours. Which is B most like?, The best dupes are crass tourists and the worst are thy neighbors with more money than sense. Which is B most like?, The best dupes are crass tourists and the worst are thy flashy neighbours. Which is B most like?, The best dupes are crass tourists and the worst are thy senile neighbours. Which is B most like?, The best dupes are crass tourists and the worst are thy redneck neighbours. Which is B most like?, The best dupes are crass tourists and the worst are mobbed-up neighbours. Which is B most like?, The best dupes are crass tourists and the worst are fools with mob connections. Which is B most like?, The best dupes are crass tourists and the worst are the sons of powerful men. Which is B most like?, The best dupes are gullible dupes and the worst are thy gullible neighbours. Which is B most like?, The best dupes are gullible dupes and the worst are thy dopey neighbours. Which is B most like?, The best dupes are gullible dupes and the worst are thy neighbors with more money than sense. Which is B most like?, The best dupes are gullible dupes and the worst are thy flashy neighbours. Which is B most like?, The best dupes are gullible dupes and the worst are thy senile neighbours. Which is B most like?, The best dupes are gullible dupes and the worst are thy redneck neighbours. Which is B most like?, The best dupes are gullible dupes and the worst are mobbed-up neighbours. Which is B most like?, The best dupes are gullible dupes and the worst are fools with mob connections. Which is B most like?, The best dupes are gullible dupes and the worst are the sons of powerful men. Which is B most like?, The best dupes are people with more money than sense and the worst are thy gullible neighbours. Which is B most like?, The best dupes are people with more money than sense and the worst are thy dopey neighbours. Which is B most like?, The best dupes are people with more money than sense and the worst are thy neighbors with more money than sense. Which is B most like?, The best dupes are people with more money than sense and the worst are thy flashy neighbours. Which is B most like?, The best dupes are people with more money than sense and the worst are thy senile neighbours. Which is B most like?, The best dupes are people with more money than sense and the worst are thy redneck neighbours. Which is B most like?, The best dupes are people with more money than sense and the worst are mobbed-up neighbours. Which is B most like?, The best dupes are people with more money than sense and the worst are fools with mob connections. Which is B most like?, The best dupes are people with more money than sense and the worst are the sons of powerful men. Which is B most like?, The best dupes are unsympathetic fools and the worst are thy gullible neighbours. Which is B most like?, The best dupes are unsympathetic fools and the worst are thy dopey neighbours. Which is B most like?, The best dupes are unsympathetic fools and the worst are thy neighbors with more money than sense. Which is B most like?, The best dupes are unsympathetic fools and the worst are thy flashy neighbours. Which is B most like?, The best dupes are unsympathetic fools and the worst are thy senile neighbours. Which is B most like?, The best dupes are unsympathetic fools and the worst are thy redneck neighbours. Which is B most like?, The best dupes are unsympathetic fools and the worst are mobbed-up neighbours. Which is B most like?, The best dupes are unsympathetic fools and the worst are fools with mob connections. Which is B most like?, The best dupes are unsympathetic fools and the worst are the sons of powerful men. Which is B most like?, The best dupes are wide-eyed gulls and the worst are thy gullible neighbours. Which is B most like?, The best dupes are wide-eyed gulls and the worst are thy dopey neighbours. Which is B most like?, The best dupes are wide-eyed gulls and the worst are thy neighbors with more money than sense. Which is B most like?, The best dupes are wide-eyed gulls and the worst are thy flashy neighbours. Which is B most like?, The best dupes are wide-eyed gulls and the worst are thy senile neighbours. Which is B most like?, The best dupes are wide-eyed gulls and the worst are thy redneck neighbours. Which is B most like?, The best dupes are wide-eyed gulls and the worst are mobbed-up neighbours. Which is B most like?, The best dupes are wide-eyed gulls and the worst are fools with mob connections. Which is B most like?, The best dupes are wide-eyed gulls and the worst are the sons of powerful men. Which is B most like?"	
with/insiders	2	"The best insiders are well-connected insiders and the worst are the faceless occupants of smoky backrooms. Which is B most like?, The best insiders are name-dropping insiders and the worst are the faceless occupants of smoky backrooms. Which is B most like?"	
with/copilots	3	"The best copilots are sober copilots and the worst are Koran-quoting co-pilots. Which is B most like?, The best copilots are wide-awake copilots and the worst are Koran-quoting co-pilots. Which is B most like?, The best copilots are sharp-eyed copilots and the worst are Koran-quoting co-pilots. Which is B most like?"	
for/prey	3	"The best prey are challenging prey and the worst are prey that can bite back. Which is B most like?, The best prey are noble beasts and the worst are prey that can bite back. Which is B most like?, The best prey are big game and the worst are prey that can bite back. Which is B most like?"	
for/sheriffs	1	The best sheriffs are publically-accountable sheriffs and the worst are sheriffs that arrest priests. Which is B most like?	
against/deadbeats	4	"The best deadbeats are no-account deadbeats and the worst are thy deadbeat neighbours. Which is B most like?, The best deadbeats are no-account deadbeats and the worst are thy neighbours that ne'er pick up a check. Which is B most like?, The best deadbeats are no-good deadbeats and the worst are thy deadbeat neighbours. Which is B most like?, The best deadbeats are no-good deadbeats and the worst are thy neighbours that ne'er pick up a check. Which is B most like?"	
of/migrants	4	"The best migrants are hardworking migrants and the worst are thy foreign-looking neigbours. Which is B most like?, The best migrants are hardworking migrants and the worst are thy Arab-sounding neighbours. Which is B most like?, The best migrants are political refugees and the worst are thy foreign-looking neigbours. Which is B most like?, The best migrants are political refugees and the worst are thy Arab-sounding neighbours. Which is B most like?"	
of/acolytes	3	"The best acolytes are devoted acolytes and the worst are acolytes with minds of their own. Which is B most like?, The best acolytes are god-fearing acolytes and the worst are acolytes with minds of their own. Which is B most like?, The best acolytes are acolytes from wealthy families and the worst are acolytes with minds of their own. Which is B most like?"	
with/research_assistants	4	"The best research assistants are gifted PhD students and the worst are thy hunchbacked lab assistants. Which is B most like?, The best research assistants are gifted PhD students and the worst are hunchbacks named 'Igor'. Which is B most like?, The best research assistants are self-funding PhD students and the worst are thy hunchbacked lab assistants. Which is B most like?, The best research assistants are self-funding PhD students and the worst are hunchbacks named 'Igor'. Which is B most like?"	
into/historical_figures	3	"The best historical figures are famous people from history and the worst are the unreconstructed mavericks of history. Which is B most like?, The best historical figures are big cheeses and the worst are the unreconstructed mavericks of history. Which is B most like?, The best historical figures are les grandes fromages and the worst are the unreconstructed mavericks of history. Which is B most like?"	
about/suspects	8	"The best suspects are obvious suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are obvious suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy Arab-looking neighbours. Which is B most like?"	
for/producers	2	"The best producers are producers with a shared 'vision' and the worst are producers with a 'casting couch'. Which is B most like?, The best producers are producers with a shared 'vision' and the worst are producers who really 'want to direct'. Which is B most like?"	
for/editors	2	"The best editors are editors that show restraint and the worst are scissor-happy editors. Which is B most like?, The best editors are understanding editors and the worst are scissor-happy editors. Which is B most like?"	
into/officials	2	"The best officials are unaccountable officials and the worst are petty faceless officials. Which is B most like?, The best officials are unaccountable officials and the worst are petty soulless functionaries. Which is B most like?"	
about/heretics	12	"The best heretics are Jihad-spouting heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are Jihad-spouting heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are Jihad-spouting heretics and the worst are celebrity atheists. Which is B most like?, The best heretics are crazy cultists and the worst are the followers of false gods. Which is B most like?, The best heretics are crazy cultists and the worst are telegenic atheists. Which is B most like?, The best heretics are crazy cultists and the worst are celebrity atheists. Which is B most like?, The best heretics are fire-bellied heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are fire-bellied heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are fire-bellied heretics and the worst are celebrity atheists. Which is B most like?, The best heretics are bible-burning heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are bible-burning heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are bible-burning heretics and the worst are celebrity atheists. Which is B most like?"	
about/dissidents	8	"The best dissidents are hate-spouting dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are hate-spouting dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are loony extremists and the worst are rebels without a cause. Which is B most like?, The best dissidents are loony extremists and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are radical dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are radical dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are flag-burning dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are flag-burning dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?"	
against/heretics	12	"The best heretics are Jihad-spouting heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are Jihad-spouting heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are Jihad-spouting heretics and the worst are celebrity atheists. Which is B most like?, The best heretics are crazy cultists and the worst are the followers of false gods. Which is B most like?, The best heretics are crazy cultists and the worst are telegenic atheists. Which is B most like?, The best heretics are crazy cultists and the worst are celebrity atheists. Which is B most like?, The best heretics are fire-bellied heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are fire-bellied heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are fire-bellied heretics and the worst are celebrity atheists. Which is B most like?, The best heretics are bible-burning heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are bible-burning heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are bible-burning heretics and the worst are celebrity atheists. Which is B most like?"	
against/dissidents	8	"The best dissidents are hate-spouting dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are hate-spouting dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are loony extremists and the worst are rebels without a cause. Which is B most like?, The best dissidents are loony extremists and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are radical dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are radical dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are flag-burning dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are flag-burning dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?"	
against/suspects	8	"The best suspects are obvious suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are obvious suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are the usual suspects and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are real lowlifes and the worst are thy Arab-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy suspicious-looking neighbours. Which is B most like?, The best suspects are suspects without lawyers and the worst are thy Arab-looking neighbours. Which is B most like?"	
against/occupiers	2	"The best occupiers are imperialist occupiers and the worst are Philistine invaders. Which is B most like?, The best occupiers are unwelcome occupiers and the worst are Philistine invaders. Which is B most like?"	
against/authorities	3	"The best authorities are indifferent authorities and the worst are over-zealous bureaucrats. Which is B most like?, The best authorities are indifferent authorities and the worst are soul-killing bureaucrats. Which is B most like?, The best authorities are indifferent authorities and the worst are heavy-handed authorities. Which is B most like?"	
of/heretics	12	"The best heretics are Jihad-spouting heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are Jihad-spouting heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are Jihad-spouting heretics and the worst are celebrity atheists. Which is B most like?, The best heretics are crazy cultists and the worst are the followers of false gods. Which is B most like?, The best heretics are crazy cultists and the worst are telegenic atheists. Which is B most like?, The best heretics are crazy cultists and the worst are celebrity atheists. Which is B most like?, The best heretics are fire-bellied heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are fire-bellied heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are fire-bellied heretics and the worst are celebrity atheists. Which is B most like?, The best heretics are bible-burning heretics and the worst are the followers of false gods. Which is B most like?, The best heretics are bible-burning heretics and the worst are telegenic atheists. Which is B most like?, The best heretics are bible-burning heretics and the worst are celebrity atheists. Which is B most like?"	
of/dissidents	8	"The best dissidents are hate-spouting dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are hate-spouting dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are loony extremists and the worst are rebels without a cause. Which is B most like?, The best dissidents are loony extremists and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are radical dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are radical dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?, The best dissidents are flag-burning dissidents and the worst are rebels without a cause. Which is B most like?, The best dissidents are flag-burning dissidents and the worst are strident atheists with large Twitter followings. Which is B most like?"	
for/patients	3	"The best patients are grateful patients and the worst are patients looking for assisted suicides. Which is B most like?, The best patients are well-heeled patients and the worst are patients looking for assisted suicides. Which is B most like?, The best patients are high-society patients and the worst are patients looking for assisted suicides. Which is B most like?"	
with/nurses	3	"The best nurses are pretty nurses and the worst are nurses that aren't nuns. Which is B most like?, The best nurses are compassionate nurses and the worst are nurses that aren't nuns. Which is B most like?, The best nurses are nurses with warm hands and the worst are nurses that aren't nuns. Which is B most like?"	
for/publishers	3	"The best publishers are profit-sharing publishers and the worst are the publishers of dirty books. Which is B most like?, The best publishers are high-royalty publishers and the worst are the publishers of dirty books. Which is B most like?, The best publishers are high-class publishers and the worst are the publishers of dirty books. Which is B most like?"	
of/celebrities	18	"The best celebrities are popular celebrities and the worst are people famous for being famous. Which is B most like?, The best celebrities are popular celebrities and the worst are Hollywood media whores. Which is B most like?, The best celebrities are popular celebrities and the worst are has-been celebs that make sex-tapes. Which is B most like?, The best celebrities are A-list actors and the worst are people famous for being famous. Which is B most like?, The best celebrities are A-list actors and the worst are Hollywood media whores. Which is B most like?, The best celebrities are A-list actors and the worst are has-been celebs that make sex-tapes. Which is B most like?, The best celebrities are up-and-comers and the worst are people famous for being famous. Which is B most like?, The best celebrities are up-and-comers and the worst are Hollywood media whores. Which is B most like?, The best celebrities are up-and-comers and the worst are has-been celebs that make sex-tapes. Which is B most like?, The best celebrities are top-flight stars and the worst are people famous for being famous. Which is B most like?, The best celebrities are top-flight stars and the worst are Hollywood media whores. Which is B most like?, The best celebrities are top-flight stars and the worst are has-been celebs that make sex-tapes. Which is B most like?, The best celebrities are true A-listers and the worst are people famous for being famous. Which is B most like?, The best celebrities are true A-listers and the worst are Hollywood media whores. Which is B most like?, The best celebrities are true A-listers and the worst are has-been celebs that make sex-tapes. Which is B most like?, The best celebrities are celebs with large Twitter followings and the worst are people famous for being famous. Which is B most like?, The best celebrities are celebs with large Twitter followings and the worst are Hollywood media whores. Which is B most like?, The best celebrities are celebs with large Twitter followings and the worst are has-been celebs that make sex-tapes. Which is B most like?"	
of/historical_figures	3	"The best historical figures are famous people from history and the worst are the unreconstructed mavericks of history. Which is B most like?, The best historical figures are big cheeses and the worst are the unreconstructed mavericks of history. Which is B most like?, The best historical figures are les grandes fromages and the worst are the unreconstructed mavericks of history. Which is B most like?"	
with/witnesses	3	"The best witnesses are witnesses with good memories and the worst are neighbours that bear false witness. Which is B most like?, The best witnesses are reliable witnesses and the worst are neighbours that bear false witness. Which is B most like?, The best witnesses are witnesses with good eyesight and the worst are neighbours that bear false witness. Which is B most like?"	
with/celebrities	18	"The best celebrities are popular celebrities and the worst are people famous for being famous. Which is B most like?, The best celebrities are popular celebrities and the worst are Hollywood media whores. Which is B most like?, The best celebrities are popular celebrities and the worst are has-been celebs that make sex-tapes. Which is B most like?, The best celebrities are A-list actors and the worst are people famous for being famous. Which is B most like?, The best celebrities are A-list actors and the worst are Hollywood media whores. Which is B most like?, The best celebrities are A-list actors and the worst are has-been celebs that make sex-tapes. Which is B most like?, The best celebrities are up-and-comers and the worst are people famous for being famous. Which is B most like?, The best celebrities are up-and-comers and the worst are Hollywood media whores. Which is B most like?, The best celebrities are up-and-comers and the worst are has-been celebs that make sex-tapes. Which is B most like?, The best celebrities are top-flight stars and the worst are people famous for being famous. Which is B most like?, The best celebrities are top-flight stars and the worst are Hollywood media whores. Which is B most like?, The best celebrities are top-flight stars and the worst are has-been celebs that make sex-tapes. Which is B most like?, The best celebrities are true A-listers and the worst are people famous for being famous. Which is B most like?, The best celebrities are true A-listers and the worst are Hollywood media whores. Which is B most like?, The best celebrities are true A-listers and the worst are has-been celebs that make sex-tapes. Which is B most like?, The best celebrities are celebs with large Twitter followings and the worst are people famous for being famous. Which is B most like?, The best celebrities are celebs with large Twitter followings and the worst are Hollywood media whores. Which is B most like?, The best celebrities are celebs with large Twitter followings and the worst are has-been celebs that make sex-tapes. Which is B most like?"	
with/historical_figures	3	"The best historical figures are famous people from history and the worst are the unreconstructed mavericks of history. Which is B most like?, The best historical figures are big cheeses and the worst are the unreconstructed mavericks of history. Which is B most like?, The best historical figures are les grandes fromages and the worst are the unreconstructed mavericks of history. Which is B most like?"	
